city,state,year,month,model,pm2.5
Agartala,Tripura,2023,January,google/gemma-2-27b-it,
Agartala,Tripura,2023,February,google/gemma-2-27b-it,
Agartala,Tripura,2023,March,google/gemma-2-27b-it,
Agartala,Tripura,2023,April,google/gemma-2-27b-it,
Agartala,Tripura,2023,May,google/gemma-2-27b-it,
Agartala,Tripura,2023,June,google/gemma-2-27b-it,
Agartala,Tripura,2023,July,google/gemma-2-27b-it,
Agartala,Tripura,2023,August,google/gemma-2-27b-it,
Agartala,Tripura,2023,September,google/gemma-2-27b-it,
Agartala,Tripura,2023,October,google/gemma-2-27b-it,
Agartala,Tripura,2023,November,google/gemma-2-27b-it,
Agartala,Tripura,2023,December,google/gemma-2-27b-it,
Agra,Uttar Pradesh,2023,January,google/gemma-2-27b-it,
Agra,Uttar Pradesh,2023,February,google/gemma-2-27b-it,
Agra,Uttar Pradesh,2023,March,google/gemma-2-27b-it,
Agra,Uttar Pradesh,2023,April,google/gemma-2-27b-it,
Agra,Uttar Pradesh,2023,May,google/gemma-2-27b-it,
Agra,Uttar Pradesh,2023,June,google/gemma-2-27b-it,
Agra,Uttar Pradesh,2023,July,google/gemma-2-27b-it,
Agra,Uttar Pradesh,2023,August,google/gemma-2-27b-it,
Agra,Uttar Pradesh,2023,September,google/gemma-2-27b-it,
Agra,Uttar Pradesh,2023,October,google/gemma-2-27b-it,
Agra,Uttar Pradesh,2023,November,google/gemma-2-27b-it,
Agra,Uttar Pradesh,2023,December,google/gemma-2-27b-it,
Ahmedabad,Gujarat,2023,January,google/gemma-2-27b-it,
Ahmedabad,Gujarat,2023,February,google/gemma-2-27b-it,
Ahmedabad,Gujarat,2023,March,google/gemma-2-27b-it,
Ahmedabad,Gujarat,2023,April,google/gemma-2-27b-it,
Ahmedabad,Gujarat,2023,May,google/gemma-2-27b-it,
Ahmedabad,Gujarat,2023,June,google/gemma-2-27b-it,
Ahmedabad,Gujarat,2023,July,google/gemma-2-27b-it,
Ahmedabad,Gujarat,2023,August,google/gemma-2-27b-it,
Ahmedabad,Gujarat,2023,September,google/gemma-2-27b-it,
Ahmedabad,Gujarat,2023,October,google/gemma-2-27b-it,
Ahmedabad,Gujarat,2023,November,google/gemma-2-27b-it,
Ahmedabad,Gujarat,2023,December,google/gemma-2-27b-it,
Aizawl,Mizoram,2023,January,google/gemma-2-27b-it,
Aizawl,Mizoram,2023,February,google/gemma-2-27b-it,
Aizawl,Mizoram,2023,March,google/gemma-2-27b-it,
Aizawl,Mizoram,2023,April,google/gemma-2-27b-it,
Aizawl,Mizoram,2023,May,google/gemma-2-27b-it,
Aizawl,Mizoram,2023,June,google/gemma-2-27b-it,
Aizawl,Mizoram,2023,July,google/gemma-2-27b-it,
Aizawl,Mizoram,2023,August,google/gemma-2-27b-it,
Aizawl,Mizoram,2023,September,google/gemma-2-27b-it,
Aizawl,Mizoram,2023,October,google/gemma-2-27b-it,
Aizawl,Mizoram,2023,November,google/gemma-2-27b-it,
Aizawl,Mizoram,2023,December,google/gemma-2-27b-it,
Ajmer,Rajasthan,2023,January,google/gemma-2-27b-it,
Ajmer,Rajasthan,2023,February,google/gemma-2-27b-it,
Ajmer,Rajasthan,2023,March,google/gemma-2-27b-it,
Ajmer,Rajasthan,2023,April,google/gemma-2-27b-it,
Ajmer,Rajasthan,2023,May,google/gemma-2-27b-it,
Ajmer,Rajasthan,2023,June,google/gemma-2-27b-it,
Ajmer,Rajasthan,2023,July,google/gemma-2-27b-it,
Ajmer,Rajasthan,2023,August,google/gemma-2-27b-it,
Ajmer,Rajasthan,2023,September,google/gemma-2-27b-it,
Ajmer,Rajasthan,2023,October,google/gemma-2-27b-it,
Ajmer,Rajasthan,2023,November,google/gemma-2-27b-it,
Ajmer,Rajasthan,2023,December,google/gemma-2-27b-it,
Alwar,Rajasthan,2023,January,google/gemma-2-27b-it,
Alwar,Rajasthan,2023,February,google/gemma-2-27b-it,
Alwar,Rajasthan,2023,March,google/gemma-2-27b-it,
Alwar,Rajasthan,2023,April,google/gemma-2-27b-it,
Alwar,Rajasthan,2023,May,google/gemma-2-27b-it,
Alwar,Rajasthan,2023,June,google/gemma-2-27b-it,
Alwar,Rajasthan,2023,July,google/gemma-2-27b-it,
Alwar,Rajasthan,2023,August,google/gemma-2-27b-it,
Alwar,Rajasthan,2023,September,google/gemma-2-27b-it,
Alwar,Rajasthan,2023,October,google/gemma-2-27b-it,
Alwar,Rajasthan,2023,November,google/gemma-2-27b-it,
