city,state,year,month,model,pm2.5
Agartala,Tripura,2023,January,meta-llama/Llama-3.3-70B-Instruct,114.0
Agartala,Tripura,2023,February,meta-llama/Llama-3.3-70B-Instruct,114.0
Agartala,Tripura,2023,March,meta-llama/Llama-3.3-70B-Instruct,114.0
Agartala,Tripura,2023,April,meta-llama/Llama-3.3-70B-Instruct,53.0
Agartala,Tripura,2023,May,meta-llama/Llama-3.3-70B-Instruct,53.0
Agartala,Tripura,2023,June,meta-llama/Llama-3.3-70B-Instruct,
Agartala,Tripura,2023,July,meta-llama/Llama-3.3-70B-Instruct,
Agartala,Tripura,2023,August,meta-llama/Llama-3.3-70B-Instruct,
Agartala,Tripura,2023,September,meta-llama/Llama-3.3-70B-Instruct,
Agartala,Tripura,2023,October,meta-llama/Llama-3.3-70B-Instruct,
Agartala,Tripura,2023,November,meta-llama/Llama-3.3-70B-Instruct,
Agartala,Tripura,2023,December,meta-llama/Llama-3.3-70B-Instruct,
Agra,Uttar Pradesh,2023,January,meta-llama/Llama-3.3-70B-Instruct,234.0
Agra,Uttar Pradesh,2023,February,meta-llama/Llama-3.3-70B-Instruct,254.0
Agra,Uttar Pradesh,2023,March,meta-llama/Llama-3.3-70B-Instruct,151.0
Agra,Uttar Pradesh,2023,April,meta-llama/Llama-3.3-70B-Instruct,114.0
Agra,Uttar Pradesh,2023,May,meta-llama/Llama-3.3-70B-Instruct,114.0
Agra,Uttar Pradesh,2023,June,meta-llama/Llama-3.3-70B-Instruct,76.0
Agra,Uttar Pradesh,2023,July,meta-llama/Llama-3.3-70B-Instruct,114.0
Agra,Uttar Pradesh,2023,August,meta-llama/Llama-3.3-70B-Instruct,85.0
Agra,Uttar Pradesh,2023,September,meta-llama/Llama-3.3-70B-Instruct,114.0
Agra,Uttar Pradesh,2023,October,meta-llama/Llama-3.3-70B-Instruct,114.0
Agra,Uttar Pradesh,2023,November,meta-llama/Llama-3.3-70B-Instruct,214.0
Agra,Uttar Pradesh,2023,December,meta-llama/Llama-3.3-70B-Instruct,114.0
Ahmedabad,Gujarat,2023,January,meta-llama/Llama-3.3-70B-Instruct,114.0
Ahmedabad,Gujarat,2023,February,meta-llama/Llama-3.3-70B-Instruct,101.0
Ahmedabad,Gujarat,2023,March,meta-llama/Llama-3.3-70B-Instruct,101.0
Ahmedabad,Gujarat,2023,April,meta-llama/Llama-3.3-70B-Instruct,101.0
Ahmedabad,Gujarat,2023,May,meta-llama/Llama-3.3-70B-Instruct,101.0
Ahmedabad,Gujarat,2023,June,meta-llama/Llama-3.3-70B-Instruct,51.0
Ahmedabad,Gujarat,2023,July,meta-llama/Llama-3.3-70B-Instruct,51.0
Ahmedabad,Gujarat,2023,August,meta-llama/Llama-3.3-70B-Instruct,69.0
Ahmedabad,Gujarat,2023,September,meta-llama/Llama-3.3-70B-Instruct,69.0
Ahmedabad,Gujarat,2023,October,meta-llama/Llama-3.3-70B-Instruct,114.0
Ahmedabad,Gujarat,2023,November,meta-llama/Llama-3.3-70B-Instruct,114.0
Ahmedabad,Gujarat,2023,December,meta-llama/Llama-3.3-70B-Instruct,101.0
Aizawl,Mizoram,2023,January,meta-llama/Llama-3.3-70B-Instruct,63.0
Aizawl,Mizoram,2023,February,meta-llama/Llama-3.3-70B-Instruct,51.0
Aizawl,Mizoram,2023,March,meta-llama/Llama-3.3-70B-Instruct,51.0
Aizawl,Mizoram,2023,April,meta-llama/Llama-3.3-70B-Instruct,
