city,state,year,month,model,pm2.5
Agartala,Tripura,2023,January,Qwen/Qwen3-32B,45.6
Agartala,Tripura,2023,February,Qwen/Qwen3-32B,45.6
Agartala,Tripura,2023,March,Qwen/Qwen3-32B,45.6
Agartala,Tripura,2023,April,Qwen/Qwen3-32B,45.6
Agartala,Tripura,2023,May,Qwen/Qwen3-32B,45.6
Agartala,Tripura,2023,June,Qwen/Qwen3-32B,45.6
Agartala,Tripura,2023,July,Qwen/Qwen3-32B,45.6
Agartala,Tripura,2023,August,Qwen/Qwen3-32B,45.6
Agartala,Tripura,2023,September,Qwen/Qwen3-32B,
Agartala,Tripura,2023,October,Qwen/Qwen3-32B,
Agartala,Tripura,2023,November,Qwen/Qwen3-32B,
Agartala,Tripura,2023,December,Qwen/Qwen3-32B,
Agra,Uttar Pradesh,2023,January,Qwen/Qwen3-32B,150.3
Agra,Uttar Pradesh,2023,February,Qwen/Qwen3-32B,150.3
Agra,Uttar Pradesh,2023,March,Qwen/Qwen3-32B,150.3
Agra,Uttar Pradesh,2023,April,Qwen/Qwen3-32B,150.3
Agra,Uttar Pradesh,2023,May,Qwen/Qwen3-32B,150.3
Agra,Uttar Pradesh,2023,June,Qwen/Qwen3-32B,150.2
Agra,Uttar Pradesh,2023,July,Qwen/Qwen3-32B,150.2
Agra,Uttar Pradesh,2023,August,Qwen/Qwen3-32B,150.3
Agra,Uttar Pradesh,2023,September,Qwen/Qwen3-32B,150.3
Agra,Uttar Pradesh,2023,October,Qwen/Qwen3-32B,150.3
Agra,Uttar Pradesh,2023,November,Qwen/Qwen3-32B,150.3
Agra,Uttar Pradesh,2023,December,Qwen/Qwen3-32B,150.3
Ahmedabad,Gujarat,2023,January,Qwen/Qwen3-32B,150.3
Ahmedabad,Gujarat,2023,February,Qwen/Qwen3-32B,150.3
Ahmedabad,Gujarat,2023,March,Qwen/Qwen3-32B,150.3
Ahmedabad,Gujarat,2023,April,Qwen/Qwen3-32B,150.3
Ahmedabad,Gujarat,2023,May,Qwen/Qwen3-32B,150.3
Ahmedabad,Gujarat,2023,June,Qwen/Qwen3-32B,150.3
Ahmedabad,Gujarat,2023,July,Qwen/Qwen3-32B,45.6
Ahmedabad,Gujarat,2023,August,Qwen/Qwen3-32B,45.6
Ahmedabad,Gujarat,2023,September,Qwen/Qwen3-32B,150.3
Ahmedabad,Gujarat,2023,October,Qwen/Qwen3-32B,150.3
Ahmedabad,Gujarat,2023,November,Qwen/Qwen3-32B,150.3
Ahmedabad,Gujarat,2023,December,Qwen/Qwen3-32B,150.3
Aizawl,Mizoram,2023,January,Qwen/Qwen3-32B,35.7
Aizawl,Mizoram,2023,February,Qwen/Qwen3-32B,35.7
Aizawl,Mizoram,2023,March,Qwen/Qwen3-32B,35.7
Aizawl,Mizoram,2023,April,Qwen/Qwen3-32B,35.7
Aizawl,Mizoram,2023,May,Qwen/Qwen3-32B,35.7
Aizawl,Mizoram,2023,June,Qwen/Qwen3-32B,15.2
Aizawl,Mizoram,2023,July,Qwen/Qwen3-32B,15.2
Aizawl,Mizoram,2023,August,Qwen/Qwen3-32B,15.2
Aizawl,Mizoram,2023,September,Qwen/Qwen3-32B,35.7
Aizawl,Mizoram,2023,October,Qwen/Qwen3-32B,
Aizawl,Mizoram,2023,November,Qwen/Qwen3-32B,
Aizawl,Mizoram,2023,December,Qwen/Qwen3-32B,
Ajmer,Rajasthan,2023,January,Qwen/Qwen3-32B,112.5
Ajmer,Rajasthan,2023,February,Qwen/Qwen3-32B,112.5
Ajmer,Rajasthan,2023,March,Qwen/Qwen3-32B,45.6
Ajmer,Rajasthan,2023,April,Qwen/Qwen3-32B,45.6
Ajmer,Rajasthan,2023,May,Qwen/Qwen3-32B,45.6
Ajmer,Rajasthan,2023,June,Qwen/Qwen3-32B,
Ajmer,Rajasthan,2023,July,Qwen/Qwen3-32B,
Ajmer,Rajasthan,2023,August,Qwen/Qwen3-32B,
Ajmer,Rajasthan,2023,September,Qwen/Qwen3-32B,
Ajmer,Rajasthan,2023,October,Qwen/Qwen3-32B,
Ajmer,Rajasthan,2023,November,Qwen/Qwen3-32B,
Ajmer,Rajasthan,2023,December,Qwen/Qwen3-32B,
Alwar,Rajasthan,2023,January,Qwen/Qwen3-32B,125.4
Alwar,Rajasthan,2023,February,Qwen/Qwen3-32B,112.5
Alwar,Rajasthan,2023,March,Qwen/Qwen3-32B,102.5
Alwar,Rajasthan,2023,April,Qwen/Qwen3-32B,125.4
Alwar,Rajasthan,2023,May,Qwen/Qwen3-32B,125.4
Alwar,Rajasthan,2023,June,Qwen/Qwen3-32B,
Alwar,Rajasthan,2023,July,Qwen/Qwen3-32B,
Alwar,Rajasthan,2023,August,Qwen/Qwen3-32B,
Alwar,Rajasthan,2023,September,Qwen/Qwen3-32B,
Alwar,Rajasthan,2023,October,Qwen/Qwen3-32B,
Alwar,Rajasthan,2023,November,Qwen/Qwen3-32B,
Alwar,Rajasthan,2023,December,Qwen/Qwen3-32B,
Amaravati,Andhra Pradesh,2023,January,Qwen/Qwen3-32B,
Amaravati,Andhra Pradesh,2023,February,Qwen/Qwen3-32B,
Amaravati,Andhra Pradesh,2023,March,Qwen/Qwen3-32B,
Amaravati,Andhra Pradesh,2023,April,Qwen/Qwen3-32B,
Amaravati,Andhra Pradesh,2023,May,Qwen/Qwen3-32B,
Amaravati,Andhra Pradesh,2023,June,Qwen/Qwen3-32B,
Amaravati,Andhra Pradesh,2023,July,Qwen/Qwen3-32B,
Amaravati,Andhra Pradesh,2023,August,Qwen/Qwen3-32B,
Amaravati,Andhra Pradesh,2023,September,Qwen/Qwen3-32B,
Amaravati,Andhra Pradesh,2023,October,Qwen/Qwen3-32B,
Amaravati,Andhra Pradesh,2023,November,Qwen/Qwen3-32B,
Amaravati,Andhra Pradesh,2023,December,Qwen/Qwen3-32B,
Ambala,Haryana,2023,January,Qwen/Qwen3-32B,150.3
Ambala,Haryana,2023,February,Qwen/Qwen3-32B,150.3
Ambala,Haryana,2023,March,Qwen/Qwen3-32B,125.4
Ambala,Haryana,2023,April,Qwen/Qwen3-32B,150.3
Ambala,Haryana,2023,May,Qwen/Qwen3-32B,150.3
Ambala,Haryana,2023,June,Qwen/Qwen3-32B,
Ambala,Haryana,2023,July,Qwen/Qwen3-32B,
Ambala,Haryana,2023,August,Qwen/Qwen3-32B,
Ambala,Haryana,2023,September,Qwen/Qwen3-32B,
Ambala,Haryana,2023,October,Qwen/Qwen3-32B,
Ambala,Haryana,2023,November,Qwen/Qwen3-32B,150.3
Ambala,Haryana,2023,December,Qwen/Qwen3-32B,
Amritsar,Punjab,2023,January,Qwen/Qwen3-32B,150.3
Amritsar,Punjab,2023,February,Qwen/Qwen3-32B,150.3
Amritsar,Punjab,2023,March,Qwen/Qwen3-32B,45.6
Amritsar,Punjab,2023,April,Qwen/Qwen3-32B,45.6
Amritsar,Punjab,2023,May,Qwen/Qwen3-32B,45.6
Amritsar,Punjab,2023,June,Qwen/Qwen3-32B,150.2
Amritsar,Punjab,2023,July,Qwen/Qwen3-32B,
Amritsar,Punjab,2023,August,Qwen/Qwen3-32B,
Amritsar,Punjab,2023,September,Qwen/Qwen3-32B,
Amritsar,Punjab,2023,October,Qwen/Qwen3-32B,150.3
Amritsar,Punjab,2023,November,Qwen/Qwen3-32B,150.3
Amritsar,Punjab,2023,December,Qwen/Qwen3-32B,150.3
Anantapur,Andhra Pradesh,2023,January,Qwen/Qwen3-32B,
Anantapur,Andhra Pradesh,2023,February,Qwen/Qwen3-32B,
Anantapur,Andhra Pradesh,2023,March,Qwen/Qwen3-32B,
Anantapur,Andhra Pradesh,2023,April,Qwen/Qwen3-32B,
Anantapur,Andhra Pradesh,2023,May,Qwen/Qwen3-32B,
Anantapur,Andhra Pradesh,2023,June,Qwen/Qwen3-32B,
Anantapur,Andhra Pradesh,2023,July,Qwen/Qwen3-32B,
Anantapur,Andhra Pradesh,2023,August,Qwen/Qwen3-32B,
Anantapur,Andhra Pradesh,2023,September,Qwen/Qwen3-32B,
Anantapur,Andhra Pradesh,2023,October,Qwen/Qwen3-32B,
Anantapur,Andhra Pradesh,2023,November,Qwen/Qwen3-32B,
Anantapur,Andhra Pradesh,2023,December,Qwen/Qwen3-32B,
Ankleshwar,Gujarat,2023,January,Qwen/Qwen3-32B,125.4
Ankleshwar,Gujarat,2023,February,Qwen/Qwen3-32B,125.4
Ankleshwar,Gujarat,2023,March,Qwen/Qwen3-32B,
Ankleshwar,Gujarat,2023,April,Qwen/Qwen3-32B,
Ankleshwar,Gujarat,2023,May,Qwen/Qwen3-32B,
Ankleshwar,Gujarat,2023,June,Qwen/Qwen3-32B,
Ankleshwar,Gujarat,2023,July,Qwen/Qwen3-32B,
Ankleshwar,Gujarat,2023,August,Qwen/Qwen3-32B,
Ankleshwar,Gujarat,2023,September,Qwen/Qwen3-32B,
Ankleshwar,Gujarat,2023,October,Qwen/Qwen3-32B,
Ankleshwar,Gujarat,2023,November,Qwen/Qwen3-32B,
Ankleshwar,Gujarat,2023,December,Qwen/Qwen3-32B,
Araria,Bihar,2023,January,Qwen/Qwen3-32B,150.3
Araria,Bihar,2023,February,Qwen/Qwen3-32B,150.3
Araria,Bihar,2023,March,Qwen/Qwen3-32B,150.3
Araria,Bihar,2023,April,Qwen/Qwen3-32B,150.3
Araria,Bihar,2023,May,Qwen/Qwen3-32B,
Araria,Bihar,2023,June,Qwen/Qwen3-32B,
Araria,Bihar,2023,July,Qwen/Qwen3-32B,
Araria,Bihar,2023,August,Qwen/Qwen3-32B,
Araria,Bihar,2023,September,Qwen/Qwen3-32B,
Araria,Bihar,2023,October,Qwen/Qwen3-32B,
Araria,Bihar,2023,November,Qwen/Qwen3-32B,
Araria,Bihar,2023,December,Qwen/Qwen3-32B,
Ariyalur,Tamil Nadu,2023,January,Qwen/Qwen3-32B,45.6
Ariyalur,Tamil Nadu,2023,February,Qwen/Qwen3-32B,
Ariyalur,Tamil Nadu,2023,March,Qwen/Qwen3-32B,
