year,month,model,pm2.5
2023,January,meta-llama/Llama-3.1-8B-Instruct,35.0
2023,February,meta-llama/Llama-3.1-8B-Instruct,35.0
2023,March,meta-llama/Llama-3.1-8B-Instruct,35.0
2023,April,meta-llama/Llama-3.1-8B-Instruct,35.0
2023,May,meta-llama/Llama-3.1-8B-Instruct,35.0
2023,June,meta-llama/Llama-3.1-8B-Instruct,35.0
2023,July,meta-llama/Llama-3.1-8B-Instruct,35.0
2023,August,meta-llama/Llama-3.1-8B-Instruct,
2023,September,meta-llama/Llama-3.1-8B-Instruct,
2023,October,meta-llama/Llama-3.1-8B-Instruct,
2023,November,meta-llama/Llama-3.1-8B-Instruct,
2023,December,meta-llama/Llama-3.1-8B-Instruct,
