city,state,year,month,model,pm2.5
Agartala,Tripura,2023,January,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Agartala,Tripura,2023,February,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Agartala,Tripura,2023,March,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Agartala,Tripura,2023,April,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Agartala,Tripura,2023,May,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Agartala,Tripura,2023,June,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Agartala,Tripura,2023,July,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Agartala,Tripura,2023,August,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Agartala,Tripura,2023,September,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Agartala,Tripura,2023,October,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Agartala,Tripura,2023,November,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Agartala,Tripura,2023,December,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Ahmedabad,Gujarat,2023,January,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Ahmedabad,Gujarat,2023,February,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Ahmedabad,Gujarat,2023,March,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Ahmedabad,Gujarat,2023,April,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Ahmedabad,Gujarat,2023,May,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Ahmedabad,Gujarat,2023,June,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Ahmedabad,Gujarat,2023,July,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Ahmedabad,Gujarat,2023,August,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Ahmedabad,Gujarat,2023,September,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Ahmedabad,Gujarat,2023,October,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Ahmedabad,Gujarat,2023,November,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Ahmedabad,Gujarat,2023,December,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Aizawl,Mizoram,2023,January,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Aizawl,Mizoram,2023,February,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Aizawl,Mizoram,2023,March,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Aizawl,Mizoram,2023,April,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Aizawl,Mizoram,2023,May,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Aizawl,Mizoram,2023,June,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Aizawl,Mizoram,2023,July,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Aizawl,Mizoram,2023,August,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Aizawl,Mizoram,2023,September,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Aizawl,Mizoram,2023,October,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Aizawl,Mizoram,2023,November,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Aizawl,Mizoram,2023,December,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Amaravati,Andhra Pradesh,2023,January,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Amaravati,Andhra Pradesh,2023,February,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Amaravati,Andhra Pradesh,2023,March,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Amaravati,Andhra Pradesh,2023,April,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Amaravati,Andhra Pradesh,2023,May,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Amaravati,Andhra Pradesh,2023,June,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Amaravati,Andhra Pradesh,2023,July,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Amaravati,Andhra Pradesh,2023,August,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Amaravati,Andhra Pradesh,2023,September,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Amaravati,Andhra Pradesh,2023,October,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Amaravati,Andhra Pradesh,2023,November,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Amaravati,Andhra Pradesh,2023,December,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Anantapur,Andhra Pradesh,2023,January,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Anantapur,Andhra Pradesh,2023,February,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Anantapur,Andhra Pradesh,2023,March,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Anantapur,Andhra Pradesh,2023,April,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Anantapur,Andhra Pradesh,2023,May,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Anantapur,Andhra Pradesh,2023,June,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Anantapur,Andhra Pradesh,2023,July,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Anantapur,Andhra Pradesh,2023,August,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Anantapur,Andhra Pradesh,2023,September,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Anantapur,Andhra Pradesh,2023,October,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Anantapur,Andhra Pradesh,2023,November,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Anantapur,Andhra Pradesh,2023,December,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Araria,Bihar,2023,January,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Araria,Bihar,2023,February,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Araria,Bihar,2023,March,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Araria,Bihar,2023,April,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Araria,Bihar,2023,May,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Araria,Bihar,2023,June,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Araria,Bihar,2023,July,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Araria,Bihar,2023,August,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Araria,Bihar,2023,September,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Araria,Bihar,2023,October,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Araria,Bihar,2023,November,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Araria,Bihar,2023,December,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Ariyalur,Tamil Nadu,2023,January,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Ariyalur,Tamil Nadu,2023,February,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Ariyalur,Tamil Nadu,2023,March,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Ariyalur,Tamil Nadu,2023,April,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Ariyalur,Tamil Nadu,2023,May,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Ariyalur,Tamil Nadu,2023,June,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Ariyalur,Tamil Nadu,2023,July,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Ariyalur,Tamil Nadu,2023,August,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Ariyalur,Tamil Nadu,2023,September,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Ariyalur,Tamil Nadu,2023,October,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Ariyalur,Tamil Nadu,2023,November,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Ariyalur,Tamil Nadu,2023,December,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Baddi,Himachal Pradesh,2023,January,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Baddi,Himachal Pradesh,2023,February,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Baddi,Himachal Pradesh,2023,March,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Baddi,Himachal Pradesh,2023,April,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Baddi,Himachal Pradesh,2023,May,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Baddi,Himachal Pradesh,2023,June,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Baddi,Himachal Pradesh,2023,July,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Baddi,Himachal Pradesh,2023,August,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Baddi,Himachal Pradesh,2023,September,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Baddi,Himachal Pradesh,2023,October,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Baddi,Himachal Pradesh,2023,November,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Baddi,Himachal Pradesh,2023,December,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bhilai,Chhattisgarh,2023,January,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bhilai,Chhattisgarh,2023,February,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bhilai,Chhattisgarh,2023,March,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bhilai,Chhattisgarh,2023,April,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bhilai,Chhattisgarh,2023,May,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bhilai,Chhattisgarh,2023,June,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bhilai,Chhattisgarh,2023,July,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bhilai,Chhattisgarh,2023,August,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bhilai,Chhattisgarh,2023,September,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bhilai,Chhattisgarh,2023,October,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bhilai,Chhattisgarh,2023,November,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bhilai,Chhattisgarh,2023,December,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bhiwadi,Rajasthan,2023,January,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bhiwadi,Rajasthan,2023,February,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bhiwadi,Rajasthan,2023,March,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bhiwadi,Rajasthan,2023,April,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bhiwadi,Rajasthan,2023,May,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bhiwadi,Rajasthan,2023,June,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bhiwadi,Rajasthan,2023,July,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bhiwadi,Rajasthan,2023,August,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bhiwadi,Rajasthan,2023,September,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bhiwadi,Rajasthan,2023,October,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bhiwadi,Rajasthan,2023,November,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bhiwadi,Rajasthan,2023,December,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bihar Sharif,Bihar,2023,January,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bihar Sharif,Bihar,2023,February,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bihar Sharif,Bihar,2023,March,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bihar Sharif,Bihar,2023,April,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bihar Sharif,Bihar,2023,May,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bihar Sharif,Bihar,2023,June,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bihar Sharif,Bihar,2023,July,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
Bihar Sharif,Bihar,2023,August,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,
