city,state,year,month,model,pm2.5
Agartala,Tripura,2023,January,meta-llama/Llama-3.1-70B-Instruct,123.0
Agartala,Tripura,2023,February,meta-llama/Llama-3.1-70B-Instruct,63.0
Agartala,Tripura,2023,March,meta-llama/Llama-3.1-70B-Instruct,83.0
Agartala,Tripura,2023,April,meta-llama/Llama-3.1-70B-Instruct,43.0
Agartala,Tripura,2023,May,meta-llama/Llama-3.1-70B-Instruct,23.0
Agartala,Tripura,2023,June,meta-llama/Llama-3.1-70B-Instruct,23.0
Agartala,Tripura,2023,July,meta-llama/Llama-3.1-70B-Instruct,23.0
Agartala,Tripura,2023,August,meta-llama/Llama-3.1-70B-Instruct,43.0
Agartala,Tripura,2023,September,meta-llama/Llama-3.1-70B-Instruct,63.0
Agartala,Tripura,2023,October,meta-llama/Llama-3.1-70B-Instruct,63.0
Agartala,Tripura,2023,November,meta-llama/Llama-3.1-70B-Instruct,63.0
Agartala,Tripura,2023,December,meta-llama/Llama-3.1-70B-Instruct,63.0
Ahmedabad,Gujarat,2023,January,meta-llama/Llama-3.1-70B-Instruct,114.0
Ahmedabad,Gujarat,2023,February,meta-llama/Llama-3.1-70B-Instruct,114.0
Ahmedabad,Gujarat,2023,March,meta-llama/Llama-3.1-70B-Instruct,101.0
Ahmedabad,Gujarat,2023,April,meta-llama/Llama-3.1-70B-Instruct,51.0
Ahmedabad,Gujarat,2023,May,meta-llama/Llama-3.1-70B-Instruct,43.0
Ahmedabad,Gujarat,2023,June,meta-llama/Llama-3.1-70B-Instruct,43.0
Ahmedabad,Gujarat,2023,July,meta-llama/Llama-3.1-70B-Instruct,43.0
Ahmedabad,Gujarat,2023,August,meta-llama/Llama-3.1-70B-Instruct,43.0
Ahmedabad,Gujarat,2023,September,meta-llama/Llama-3.1-70B-Instruct,70.0
Ahmedabad,Gujarat,2023,October,meta-llama/Llama-3.1-70B-Instruct,70.0
Ahmedabad,Gujarat,2023,November,meta-llama/Llama-3.1-70B-Instruct,83.0
Ahmedabad,Gujarat,2023,December,meta-llama/Llama-3.1-70B-Instruct,83.0
Aizawl,Mizoram,2023,January,meta-llama/Llama-3.1-70B-Instruct,43.0
Aizawl,Mizoram,2023,February,meta-llama/Llama-3.1-70B-Instruct,23.0
Aizawl,Mizoram,2023,March,meta-llama/Llama-3.1-70B-Instruct,23.0
Aizawl,Mizoram,2023,April,meta-llama/Llama-3.1-70B-Instruct,23.0
Aizawl,Mizoram,2023,May,meta-llama/Llama-3.1-70B-Instruct,23.0
Aizawl,Mizoram,2023,June,meta-llama/Llama-3.1-70B-Instruct,15.0
Aizawl,Mizoram,2023,July,meta-llama/Llama-3.1-70B-Instruct,15.0
Aizawl,Mizoram,2023,August,meta-llama/Llama-3.1-70B-Instruct,20.0
Aizawl,Mizoram,2023,September,meta-llama/Llama-3.1-70B-Instruct,20.0
Aizawl,Mizoram,2023,October,meta-llama/Llama-3.1-70B-Instruct,23.0
Aizawl,Mizoram,2023,November,meta-llama/Llama-3.1-70B-Instruct,63.0
Aizawl,Mizoram,2023,December,meta-llama/Llama-3.1-70B-Instruct,25.0
Amaravati,Andhra Pradesh,2023,January,meta-llama/Llama-3.1-70B-Instruct,43.0
Amaravati,Andhra Pradesh,2023,February,meta-llama/Llama-3.1-70B-Instruct,43.0
Amaravati,Andhra Pradesh,2023,March,meta-llama/Llama-3.1-70B-Instruct,43.0
Amaravati,Andhra Pradesh,2023,April,meta-llama/Llama-3.1-70B-Instruct,23.0
Amaravati,Andhra Pradesh,2023,May,meta-llama/Llama-3.1-70B-Instruct,23.0
Amaravati,Andhra Pradesh,2023,June,meta-llama/Llama-3.1-70B-Instruct,23.0
Amaravati,Andhra Pradesh,2023,July,meta-llama/Llama-3.1-70B-Instruct,23.0
Amaravati,Andhra Pradesh,2023,August,meta-llama/Llama-3.1-70B-Instruct,25.0
Amaravati,Andhra Pradesh,2023,September,meta-llama/Llama-3.1-70B-Instruct,25.0
Amaravati,Andhra Pradesh,2023,October,meta-llama/Llama-3.1-70B-Instruct,40.0
Amaravati,Andhra Pradesh,2023,November,meta-llama/Llama-3.1-70B-Instruct,60.0
Amaravati,Andhra Pradesh,2023,December,meta-llama/Llama-3.1-70B-Instruct,50.0
Anantapur,Andhra Pradesh,2023,January,meta-llama/Llama-3.1-70B-Instruct,63.0
Anantapur,Andhra Pradesh,2023,February,meta-llama/Llama-3.1-70B-Instruct,43.0
Anantapur,Andhra Pradesh,2023,March,meta-llama/Llama-3.1-70B-Instruct,43.0
Anantapur,Andhra Pradesh,2023,April,meta-llama/Llama-3.1-70B-Instruct,43.0
Anantapur,Andhra Pradesh,2023,May,meta-llama/Llama-3.1-70B-Instruct,23.0
Anantapur,Andhra Pradesh,2023,June,meta-llama/Llama-3.1-70B-Instruct,23.0
Anantapur,Andhra Pradesh,2023,July,meta-llama/Llama-3.1-70B-Instruct,23.0
Anantapur,Andhra Pradesh,2023,August,meta-llama/Llama-3.1-70B-Instruct,23.0
Anantapur,Andhra Pradesh,2023,September,meta-llama/Llama-3.1-70B-Instruct,43.0
Anantapur,Andhra Pradesh,2023,October,meta-llama/Llama-3.1-70B-Instruct,60.0
Anantapur,Andhra Pradesh,2023,November,meta-llama/Llama-3.1-70B-Instruct,63.0
Anantapur,Andhra Pradesh,2023,December,meta-llama/Llama-3.1-70B-Instruct,43.0
Araria,Bihar,2023,January,meta-llama/Llama-3.1-70B-Instruct,234.0
Araria,Bihar,2023,February,meta-llama/Llama-3.1-70B-Instruct,234.0
Araria,Bihar,2023,March,meta-llama/Llama-3.1-70B-Instruct,157.0
Araria,Bihar,2023,April,meta-llama/Llama-3.1-70B-Instruct,123.0
Araria,Bihar,2023,May,meta-llama/Llama-3.1-70B-Instruct,83.0
Araria,Bihar,2023,June,meta-llama/Llama-3.1-70B-Instruct,83.0
Araria,Bihar,2023,July,meta-llama/Llama-3.1-70B-Instruct,83.0
Araria,Bihar,2023,August,meta-llama/Llama-3.1-70B-Instruct,83.0
Araria,Bihar,2023,September,meta-llama/Llama-3.1-70B-Instruct,114.0
Araria,Bihar,2023,October,meta-llama/Llama-3.1-70B-Instruct,157.0
Araria,Bihar,2023,November,meta-llama/Llama-3.1-70B-Instruct,234.0
Araria,Bihar,2023,December,meta-llama/Llama-3.1-70B-Instruct,157.0
Ariyalur,Tamil Nadu,2023,January,meta-llama/Llama-3.1-70B-Instruct,43.0
Ariyalur,Tamil Nadu,2023,February,meta-llama/Llama-3.1-70B-Instruct,43.0
Ariyalur,Tamil Nadu,2023,March,meta-llama/Llama-3.1-70B-Instruct,43.0
Ariyalur,Tamil Nadu,2023,April,meta-llama/Llama-3.1-70B-Instruct,43.0
Ariyalur,Tamil Nadu,2023,May,meta-llama/Llama-3.1-70B-Instruct,23.0
Ariyalur,Tamil Nadu,2023,June,meta-llama/Llama-3.1-70B-Instruct,23.0
Ariyalur,Tamil Nadu,2023,July,meta-llama/Llama-3.1-70B-Instruct,23.0
Ariyalur,Tamil Nadu,2023,August,meta-llama/Llama-3.1-70B-Instruct,25.0
Ariyalur,Tamil Nadu,2023,September,meta-llama/Llama-3.1-70B-Instruct,23.0
Ariyalur,Tamil Nadu,2023,October,meta-llama/Llama-3.1-70B-Instruct,70.0
Ariyalur,Tamil Nadu,2023,November,meta-llama/Llama-3.1-70B-Instruct,70.0
Ariyalur,Tamil Nadu,2023,December,meta-llama/Llama-3.1-70B-Instruct,70.0
Baddi,Himachal Pradesh,2023,January,meta-llama/Llama-3.1-70B-Instruct,63.0
Baddi,Himachal Pradesh,2023,February,meta-llama/Llama-3.1-70B-Instruct,63.0
Baddi,Himachal Pradesh,2023,March,meta-llama/Llama-3.1-70B-Instruct,63.0
Baddi,Himachal Pradesh,2023,April,meta-llama/Llama-3.1-70B-Instruct,25.0
Baddi,Himachal Pradesh,2023,May,meta-llama/Llama-3.1-70B-Instruct,23.0
Baddi,Himachal Pradesh,2023,June,meta-llama/Llama-3.1-70B-Instruct,23.0
Baddi,Himachal Pradesh,2023,July,meta-llama/Llama-3.1-70B-Instruct,23.0
Baddi,Himachal Pradesh,2023,August,meta-llama/Llama-3.1-70B-Instruct,25.0
Baddi,Himachal Pradesh,2023,September,meta-llama/Llama-3.1-70B-Instruct,40.0
Baddi,Himachal Pradesh,2023,October,meta-llama/Llama-3.1-70B-Instruct,60.0
Baddi,Himachal Pradesh,2023,November,meta-llama/Llama-3.1-70B-Instruct,63.0
Baddi,Himachal Pradesh,2023,December,meta-llama/Llama-3.1-70B-Instruct,63.0
Bhilai,Chhattisgarh,2023,January,meta-llama/Llama-3.1-70B-Instruct,123.0
Bhilai,Chhattisgarh,2023,February,meta-llama/Llama-3.1-70B-Instruct,114.0
Bhilai,Chhattisgarh,2023,March,meta-llama/Llama-3.1-70B-Instruct,83.0
Bhilai,Chhattisgarh,2023,April,meta-llama/Llama-3.1-70B-Instruct,63.0
Bhilai,Chhattisgarh,2023,May,meta-llama/Llama-3.1-70B-Instruct,43.0
Bhilai,Chhattisgarh,2023,June,meta-llama/Llama-3.1-70B-Instruct,43.0
Bhilai,Chhattisgarh,2023,July,meta-llama/Llama-3.1-70B-Instruct,43.0
Bhilai,Chhattisgarh,2023,August,meta-llama/Llama-3.1-70B-Instruct,43.0
Bhilai,Chhattisgarh,2023,September,meta-llama/Llama-3.1-70B-Instruct,63.0
Bhilai,Chhattisgarh,2023,October,meta-llama/Llama-3.1-70B-Instruct,83.0
Bhilai,Chhattisgarh,2023,November,meta-llama/Llama-3.1-70B-Instruct,83.0
Bhilai,Chhattisgarh,2023,December,meta-llama/Llama-3.1-70B-Instruct,83.0
Bhiwadi,Rajasthan,2023,January,meta-llama/Llama-3.1-70B-Instruct,234.0
Bhiwadi,Rajasthan,2023,February,meta-llama/Llama-3.1-70B-Instruct,114.0
Bhiwadi,Rajasthan,2023,March,meta-llama/Llama-3.1-70B-Instruct,123.0
Bhiwadi,Rajasthan,2023,April,meta-llama/Llama-3.1-70B-Instruct,85.0
Bhiwadi,Rajasthan,2023,May,meta-llama/Llama-3.1-70B-Instruct,83.0
Bhiwadi,Rajasthan,2023,June,meta-llama/Llama-3.1-70B-Instruct,43.0
Bhiwadi,Rajasthan,2023,July,meta-llama/Llama-3.1-70B-Instruct,83.0
Bhiwadi,Rajasthan,2023,August,meta-llama/Llama-3.1-70B-Instruct,80.0
Bhiwadi,Rajasthan,2023,September,meta-llama/Llama-3.1-70B-Instruct,80.0
Bhiwadi,Rajasthan,2023,October,meta-llama/Llama-3.1-70B-Instruct,150.0
Bhiwadi,Rajasthan,2023,November,meta-llama/Llama-3.1-70B-Instruct,150.0
Bhiwadi,Rajasthan,2023,December,meta-llama/Llama-3.1-70B-Instruct,150.0
Bihar Sharif,Bihar,2023,January,meta-llama/Llama-3.1-70B-Instruct,234.0
Bihar Sharif,Bihar,2023,February,meta-llama/Llama-3.1-70B-Instruct,151.0
Bihar Sharif,Bihar,2023,March,meta-llama/Llama-3.1-70B-Instruct,114.0
Bihar Sharif,Bihar,2023,April,meta-llama/Llama-3.1-70B-Instruct,101.0
Bihar Sharif,Bihar,2023,May,meta-llama/Llama-3.1-70B-Instruct,83.0
Bihar Sharif,Bihar,2023,June,meta-llama/Llama-3.1-70B-Instruct,63.0
Bihar Sharif,Bihar,2023,July,meta-llama/Llama-3.1-70B-Instruct,83.0
Bihar Sharif,Bihar,2023,August,meta-llama/Llama-3.1-70B-Instruct,83.0
Bihar Sharif,Bihar,2023,September,meta-llama/Llama-3.1-70B-Instruct,114.0
Bihar Sharif,Bihar,2023,October,meta-llama/Llama-3.1-70B-Instruct,173.0
Bihar Sharif,Bihar,2023,November,meta-llama/Llama-3.1-70B-Instruct,234.0
Bihar Sharif,Bihar,2023,December,meta-llama/Llama-3.1-70B-Instruct,173.0
Bileipada,Odisha,2023,January,meta-llama/Llama-3.1-70B-Instruct,83.0
Bileipada,Odisha,2023,February,meta-llama/Llama-3.1-70B-Instruct,83.0
Bileipada,Odisha,2023,March,meta-llama/Llama-3.1-70B-Instruct,83.0
Bileipada,Odisha,2023,April,meta-llama/Llama-3.1-70B-Instruct,43.0
Bileipada,Odisha,2023,May,meta-llama/Llama-3.1-70B-Instruct,23.0
Bileipada,Odisha,2023,June,meta-llama/Llama-3.1-70B-Instruct,23.0
Bileipada,Odisha,2023,July,meta-llama/Llama-3.1-70B-Instruct,23.0
Bileipada,Odisha,2023,August,meta-llama/Llama-3.1-70B-Instruct,40.0
Bileipada,Odisha,2023,September,meta-llama/Llama-3.1-70B-Instruct,60.0
Bileipada,Odisha,2023,October,meta-llama/Llama-3.1-70B-Instruct,85.0
Bileipada,Odisha,2023,November,meta-llama/Llama-3.1-70B-Instruct,120.0
Bileipada,Odisha,2023,December,meta-llama/Llama-3.1-70B-Instruct,120.0
Brajrajnagar,Odisha,2023,January,meta-llama/Llama-3.1-70B-Instruct,234.0
Brajrajnagar,Odisha,2023,February,meta-llama/Llama-3.1-70B-Instruct,114.0
Brajrajnagar,Odisha,2023,March,meta-llama/Llama-3.1-70B-Instruct,123.0
Brajrajnagar,Odisha,2023,April,meta-llama/Llama-3.1-70B-Instruct,123.0
Brajrajnagar,Odisha,2023,May,meta-llama/Llama-3.1-70B-Instruct,63.0
Brajrajnagar,Odisha,2023,June,meta-llama/Llama-3.1-70B-Instruct,63.0
Brajrajnagar,Odisha,2023,July,meta-llama/Llama-3.1-70B-Instruct,63.0
Brajrajnagar,Odisha,2023,August,meta-llama/Llama-3.1-70B-Instruct,63.0
Brajrajnagar,Odisha,2023,September,meta-llama/Llama-3.1-70B-Instruct,85.0
Brajrajnagar,Odisha,2023,October,meta-llama/Llama-3.1-70B-Instruct,120.0
Brajrajnagar,Odisha,2023,November,meta-llama/Llama-3.1-70B-Instruct,157.0
Brajrajnagar,Odisha,2023,December,meta-llama/Llama-3.1-70B-Instruct,120.0
Chandigarh,Chandigarh,2023,January,meta-llama/Llama-3.1-70B-Instruct,114.0
Chandigarh,Chandigarh,2023,February,meta-llama/Llama-3.1-70B-Instruct,114.0
Chandigarh,Chandigarh,2023,March,meta-llama/Llama-3.1-70B-Instruct,114.0
Chandigarh,Chandigarh,2023,April,meta-llama/Llama-3.1-70B-Instruct,67.0
Chandigarh,Chandigarh,2023,May,meta-llama/Llama-3.1-70B-Instruct,25.0
Chandigarh,Chandigarh,2023,June,meta-llama/Llama-3.1-70B-Instruct,23.0
Chandigarh,Chandigarh,2023,July,meta-llama/Llama-3.1-70B-Instruct,23.0
Chandigarh,Chandigarh,2023,August,meta-llama/Llama-3.1-70B-Instruct,43.0
Chandigarh,Chandigarh,2023,September,meta-llama/Llama-3.1-70B-Instruct,70.0
Chandigarh,Chandigarh,2023,October,meta-llama/Llama-3.1-70B-Instruct,114.0
