city,state,year,month,model,pm2.5
Agartala,Tripura,2023,January,google/gemma-2-9b-it,30.8
Agartala,Tripura,2023,February,google/gemma-2-9b-it,30.8
Agartala,Tripura,2023,March,google/gemma-2-9b-it,30.8
Agartala,Tripura,2023,April,google/gemma-2-9b-it,30.8
Agartala,Tripura,2023,May,google/gemma-2-9b-it,30.8
Agartala,Tripura,2023,June,google/gemma-2-9b-it,30.8
Agartala,Tripura,2023,July,google/gemma-2-9b-it,30.8
Agartala,Tripura,2023,August,google/gemma-2-9b-it,30.5
Agartala,Tripura,2023,September,google/gemma-2-9b-it,30.5
Agartala,Tripura,2023,October,google/gemma-2-9b-it,30.5
Agartala,Tripura,2023,November,google/gemma-2-9b-it,30.5
Agartala,Tripura,2023,December,google/gemma-2-9b-it,30.5
Ahmedabad,Gujarat,2023,January,google/gemma-2-9b-it,40.8
Ahmedabad,Gujarat,2023,February,google/gemma-2-9b-it,38.2
Ahmedabad,Gujarat,2023,March,google/gemma-2-9b-it,38.7
Ahmedabad,Gujarat,2023,April,google/gemma-2-9b-it,40.8
Ahmedabad,Gujarat,2023,May,google/gemma-2-9b-it,40.2
Ahmedabad,Gujarat,2023,June,google/gemma-2-9b-it,38.7
Ahmedabad,Gujarat,2023,July,google/gemma-2-9b-it,45.2
Ahmedabad,Gujarat,2023,August,google/gemma-2-9b-it,38.7
Ahmedabad,Gujarat,2023,September,google/gemma-2-9b-it,38.7
Ahmedabad,Gujarat,2023,October,google/gemma-2-9b-it,35.0
Ahmedabad,Gujarat,2023,November,google/gemma-2-9b-it,35.0
Ahmedabad,Gujarat,2023,December,google/gemma-2-9b-it,35.0
Aizawl,Mizoram,2023,January,google/gemma-2-9b-it,22.3
Aizawl,Mizoram,2023,February,google/gemma-2-9b-it,22.3
Aizawl,Mizoram,2023,March,google/gemma-2-9b-it,22.3
Aizawl,Mizoram,2023,April,google/gemma-2-9b-it,22.3
Aizawl,Mizoram,2023,May,google/gemma-2-9b-it,22.3
Aizawl,Mizoram,2023,June,google/gemma-2-9b-it,22.3
Aizawl,Mizoram,2023,July,google/gemma-2-9b-it,25.3
Aizawl,Mizoram,2023,August,google/gemma-2-9b-it,25.3
Aizawl,Mizoram,2023,September,google/gemma-2-9b-it,25.3
Aizawl,Mizoram,2023,October,google/gemma-2-9b-it,15.2
Aizawl,Mizoram,2023,November,google/gemma-2-9b-it,15.2
Aizawl,Mizoram,2023,December,google/gemma-2-9b-it,15.2
Amaravati,Andhra Pradesh,2023,January,google/gemma-2-9b-it,30.2
Amaravati,Andhra Pradesh,2023,February,google/gemma-2-9b-it,30.8
Amaravati,Andhra Pradesh,2023,March,google/gemma-2-9b-it,30.2
Amaravati,Andhra Pradesh,2023,April,google/gemma-2-9b-it,30.2
Amaravati,Andhra Pradesh,2023,May,google/gemma-2-9b-it,30.8
Amaravati,Andhra Pradesh,2023,June,google/gemma-2-9b-it,30.8
Amaravati,Andhra Pradesh,2023,July,google/gemma-2-9b-it,30.8
Amaravati,Andhra Pradesh,2023,August,google/gemma-2-9b-it,25.8
Amaravati,Andhra Pradesh,2023,September,google/gemma-2-9b-it,25.8
Amaravati,Andhra Pradesh,2023,October,google/gemma-2-9b-it,25.3
Amaravati,Andhra Pradesh,2023,November,google/gemma-2-9b-it,10.0
Amaravati,Andhra Pradesh,2023,December,google/gemma-2-9b-it,10.0
Anantapur,Andhra Pradesh,2023,January,google/gemma-2-9b-it,30.8
Anantapur,Andhra Pradesh,2023,February,google/gemma-2-9b-it,30.8
Anantapur,Andhra Pradesh,2023,March,google/gemma-2-9b-it,32.7
Anantapur,Andhra Pradesh,2023,April,google/gemma-2-9b-it,30.8
Anantapur,Andhra Pradesh,2023,May,google/gemma-2-9b-it,32.7
Anantapur,Andhra Pradesh,2023,June,google/gemma-2-9b-it,30.8
Anantapur,Andhra Pradesh,2023,July,google/gemma-2-9b-it,30.8
Anantapur,Andhra Pradesh,2023,August,google/gemma-2-9b-it,32.7
Anantapur,Andhra Pradesh,2023,September,google/gemma-2-9b-it,30.5
Anantapur,Andhra Pradesh,2023,October,google/gemma-2-9b-it,10.0
Anantapur,Andhra Pradesh,2023,November,google/gemma-2-9b-it,10.0
Anantapur,Andhra Pradesh,2023,December,google/gemma-2-9b-it,10.0
Araria,Bihar,2023,January,google/gemma-2-9b-it,38.7
Araria,Bihar,2023,February,google/gemma-2-9b-it,38.7
Araria,Bihar,2023,March,google/gemma-2-9b-it,38.7
Araria,Bihar,2023,April,google/gemma-2-9b-it,38.7
Araria,Bihar,2023,May,google/gemma-2-9b-it,38.7
Araria,Bihar,2023,June,google/gemma-2-9b-it,38.7
Araria,Bihar,2023,July,google/gemma-2-9b-it,38.7
Araria,Bihar,2023,August,google/gemma-2-9b-it,38.7
Araria,Bihar,2023,September,google/gemma-2-9b-it,105.0
Araria,Bihar,2023,October,google/gemma-2-9b-it,105.0
Araria,Bihar,2023,November,google/gemma-2-9b-it,100.0
Araria,Bihar,2023,December,google/gemma-2-9b-it,100.0
Ariyalur,Tamil Nadu,2023,January,google/gemma-2-9b-it,32.7
