city,state,year,month,model,pm2.5
Agartala,Tripura,2023,January,Qwen/Qwen3-32B,45.6
Agartala,Tripura,2023,February,Qwen/Qwen3-32B,45.6
Agartala,Tripura,2023,March,Qwen/Qwen3-32B,45.6
Agartala,Tripura,2023,April,Qwen/Qwen3-32B,45.6
Agartala,Tripura,2023,May,Qwen/Qwen3-32B,45.6
Agartala,Tripura,2023,June,Qwen/Qwen3-32B,45.6
Agartala,Tripura,2023,July,Qwen/Qwen3-32B,45.6
Agartala,Tripura,2023,August,Qwen/Qwen3-32B,45.6
Agartala,Tripura,2023,September,Qwen/Qwen3-32B,45.6
Agartala,Tripura,2023,October,Qwen/Qwen3-32B,45.6
Agartala,Tripura,2023,November,Qwen/Qwen3-32B,45.6
Agartala,Tripura,2023,December,Qwen/Qwen3-32B,45.6
Ahmedabad,Gujarat,2023,January,Qwen/Qwen3-32B,154.3
Ahmedabad,Gujarat,2023,February,Qwen/Qwen3-32B,154.3
Ahmedabad,Gujarat,2023,March,Qwen/Qwen3-32B,45.6
Ahmedabad,Gujarat,2023,April,Qwen/Qwen3-32B,45.6
Ahmedabad,Gujarat,2023,May,Qwen/Qwen3-32B,45.6
Ahmedabad,Gujarat,2023,June,Qwen/Qwen3-32B,45.6
Ahmedabad,Gujarat,2023,July,Qwen/Qwen3-32B,45.6
Ahmedabad,Gujarat,2023,August,Qwen/Qwen3-32B,45.6
Ahmedabad,Gujarat,2023,September,Qwen/Qwen3-32B,45.6
Ahmedabad,Gujarat,2023,October,Qwen/Qwen3-32B,45.6
Ahmedabad,Gujarat,2023,November,Qwen/Qwen3-32B,150.3
Ahmedabad,Gujarat,2023,December,Qwen/Qwen3-32B,150.3
Aizawl,Mizoram,2023,January,Qwen/Qwen3-32B,28.4
Aizawl,Mizoram,2023,February,Qwen/Qwen3-32B,28.4
Aizawl,Mizoram,2023,March,Qwen/Qwen3-32B,28.4
Aizawl,Mizoram,2023,April,Qwen/Qwen3-32B,18.4
Aizawl,Mizoram,2023,May,Qwen/Qwen3-32B,18.4
Aizawl,Mizoram,2023,June,Qwen/Qwen3-32B,18.4
Aizawl,Mizoram,2023,July,Qwen/Qwen3-32B,18.4
Aizawl,Mizoram,2023,August,Qwen/Qwen3-32B,18.4
Aizawl,Mizoram,2023,September,Qwen/Qwen3-32B,18.4
Aizawl,Mizoram,2023,October,Qwen/Qwen3-32B,25.6
Aizawl,Mizoram,2023,November,Qwen/Qwen3-32B,25.6
Aizawl,Mizoram,2023,December,Qwen/Qwen3-32B,25.6
Amaravati,Andhra Pradesh,2023,January,Qwen/Qwen3-32B,45.6
Amaravati,Andhra Pradesh,2023,February,Qwen/Qwen3-32B,45.6
Amaravati,Andhra Pradesh,2023,March,Qwen/Qwen3-32B,45.6
Amaravati,Andhra Pradesh,2023,April,Qwen/Qwen3-32B,45.6
Amaravati,Andhra Pradesh,2023,May,Qwen/Qwen3-32B,45.6
Amaravati,Andhra Pradesh,2023,June,Qwen/Qwen3-32B,45.6
Amaravati,Andhra Pradesh,2023,July,Qwen/Qwen3-32B,45.6
Amaravati,Andhra Pradesh,2023,August,Qwen/Qwen3-32B,45.6
Amaravati,Andhra Pradesh,2023,September,Qwen/Qwen3-32B,45.6
Amaravati,Andhra Pradesh,2023,October,Qwen/Qwen3-32B,45.6
Amaravati,Andhra Pradesh,2023,November,Qwen/Qwen3-32B,45.6
Amaravati,Andhra Pradesh,2023,December,Qwen/Qwen3-32B,45.6
Anantapur,Andhra Pradesh,2023,January,Qwen/Qwen3-32B,45.6
Anantapur,Andhra Pradesh,2023,February,Qwen/Qwen3-32B,38.5
Anantapur,Andhra Pradesh,2023,March,Qwen/Qwen3-32B,45.6
Anantapur,Andhra Pradesh,2023,April,Qwen/Qwen3-32B,45.6
Anantapur,Andhra Pradesh,2023,May,Qwen/Qwen3-32B,45.6
Anantapur,Andhra Pradesh,2023,June,Qwen/Qwen3-32B,45.6
Anantapur,Andhra Pradesh,2023,July,Qwen/Qwen3-32B,45.6
Anantapur,Andhra Pradesh,2023,August,Qwen/Qwen3-32B,45.6
Anantapur,Andhra Pradesh,2023,September,Qwen/Qwen3-32B,45.6
Anantapur,Andhra Pradesh,2023,October,Qwen/Qwen3-32B,45.6
Anantapur,Andhra Pradesh,2023,November,Qwen/Qwen3-32B,45.6
Anantapur,Andhra Pradesh,2023,December,Qwen/Qwen3-32B,45.6
Araria,Bihar,2023,January,Qwen/Qwen3-32B,58.6
Araria,Bihar,2023,February,Qwen/Qwen3-32B,45.6
Araria,Bihar,2023,March,Qwen/Qwen3-32B,45.6
Araria,Bihar,2023,April,Qwen/Qwen3-32B,45.6
Araria,Bihar,2023,May,Qwen/Qwen3-32B,54.2
Araria,Bihar,2023,June,Qwen/Qwen3-32B,54.2
Araria,Bihar,2023,July,Qwen/Qwen3-32B,45.6
Araria,Bihar,2023,August,Qwen/Qwen3-32B,58.3
Araria,Bihar,2023,September,Qwen/Qwen3-32B,58.3
Araria,Bihar,2023,October,Qwen/Qwen3-32B,58.3
Araria,Bihar,2023,November,Qwen/Qwen3-32B,58.3
Araria,Bihar,2023,December,Qwen/Qwen3-32B,78.4
Ariyalur,Tamil Nadu,2023,January,Qwen/Qwen3-32B,45.6
Ariyalur,Tamil Nadu,2023,February,Qwen/Qwen3-32B,38.5
Ariyalur,Tamil Nadu,2023,March,Qwen/Qwen3-32B,45.6
Ariyalur,Tamil Nadu,2023,April,Qwen/Qwen3-32B,45.6
Ariyalur,Tamil Nadu,2023,May,Qwen/Qwen3-32B,45.6
Ariyalur,Tamil Nadu,2023,June,Qwen/Qwen3-32B,45.6
Ariyalur,Tamil Nadu,2023,July,Qwen/Qwen3-32B,45.6
Ariyalur,Tamil Nadu,2023,August,Qwen/Qwen3-32B,45.6
Ariyalur,Tamil Nadu,2023,September,Qwen/Qwen3-32B,45.6
Ariyalur,Tamil Nadu,2023,October,Qwen/Qwen3-32B,45.6
Ariyalur,Tamil Nadu,2023,November,Qwen/Qwen3-32B,45.6
Ariyalur,Tamil Nadu,2023,December,Qwen/Qwen3-32B,45.6
Baddi,Himachal Pradesh,2023,January,Qwen/Qwen3-32B,45.6
Baddi,Himachal Pradesh,2023,February,Qwen/Qwen3-32B,45.6
Baddi,Himachal Pradesh,2023,March,Qwen/Qwen3-32B,45.6
Baddi,Himachal Pradesh,2023,April,Qwen/Qwen3-32B,45.6
Baddi,Himachal Pradesh,2023,May,Qwen/Qwen3-32B,45.6
Baddi,Himachal Pradesh,2023,June,Qwen/Qwen3-32B,45.6
Baddi,Himachal Pradesh,2023,July,Qwen/Qwen3-32B,45.6
Baddi,Himachal Pradesh,2023,August,Qwen/Qwen3-32B,45.6
Baddi,Himachal Pradesh,2023,September,Qwen/Qwen3-32B,45.6
Baddi,Himachal Pradesh,2023,October,Qwen/Qwen3-32B,45.6
Baddi,Himachal Pradesh,2023,November,Qwen/Qwen3-32B,45.6
Baddi,Himachal Pradesh,2023,December,Qwen/Qwen3-32B,58.3
Bhilai,Chhattisgarh,2023,January,Qwen/Qwen3-32B,45.6
Bhilai,Chhattisgarh,2023,February,Qwen/Qwen3-32B,45.6
Bhilai,Chhattisgarh,2023,March,Qwen/Qwen3-32B,45.6
Bhilai,Chhattisgarh,2023,April,Qwen/Qwen3-32B,45.6
Bhilai,Chhattisgarh,2023,May,Qwen/Qwen3-32B,45.6
Bhilai,Chhattisgarh,2023,June,Qwen/Qwen3-32B,45.6
Bhilai,Chhattisgarh,2023,July,Qwen/Qwen3-32B,45.6
Bhilai,Chhattisgarh,2023,August,Qwen/Qwen3-32B,45.6
Bhilai,Chhattisgarh,2023,September,Qwen/Qwen3-32B,45.6
Bhilai,Chhattisgarh,2023,October,Qwen/Qwen3-32B,45.6
Bhilai,Chhattisgarh,2023,November,Qwen/Qwen3-32B,45.6
Bhilai,Chhattisgarh,2023,December,Qwen/Qwen3-32B,125.4
Bhiwadi,Rajasthan,2023,January,Qwen/Qwen3-32B,156.3
Bhiwadi,Rajasthan,2023,February,Qwen/Qwen3-32B,45.6
Bhiwadi,Rajasthan,2023,March,Qwen/Qwen3-32B,45.6
Bhiwadi,Rajasthan,2023,April,Qwen/Qwen3-32B,45.6
Bhiwadi,Rajasthan,2023,May,Qwen/Qwen3-32B,45.6
Bhiwadi,Rajasthan,2023,June,Qwen/Qwen3-32B,45.6
Bhiwadi,Rajasthan,2023,July,Qwen/Qwen3-32B,45.6
Bhiwadi,Rajasthan,2023,August,Qwen/Qwen3-32B,45.6
Bhiwadi,Rajasthan,2023,September,Qwen/Qwen3-32B,45.6
Bhiwadi,Rajasthan,2023,October,Qwen/Qwen3-32B,45.6
Bhiwadi,Rajasthan,2023,November,Qwen/Qwen3-32B,125.4
Bhiwadi,Rajasthan,2023,December,Qwen/Qwen3-32B,125.6
Bihar Sharif,Bihar,2023,January,Qwen/Qwen3-32B,45.6
Bihar Sharif,Bihar,2023,February,Qwen/Qwen3-32B,45.6
Bihar Sharif,Bihar,2023,March,Qwen/Qwen3-32B,45.6
Bihar Sharif,Bihar,2023,April,Qwen/Qwen3-32B,45.6
Bihar Sharif,Bihar,2023,May,Qwen/Qwen3-32B,45.6
Bihar Sharif,Bihar,2023,June,Qwen/Qwen3-32B,45.6
Bihar Sharif,Bihar,2023,July,Qwen/Qwen3-32B,45.6
Bihar Sharif,Bihar,2023,August,Qwen/Qwen3-32B,45.6
Bihar Sharif,Bihar,2023,September,Qwen/Qwen3-32B,45.6
Bihar Sharif,Bihar,2023,October,Qwen/Qwen3-32B,58.3
Bihar Sharif,Bihar,2023,November,Qwen/Qwen3-32B,78.4
Bihar Sharif,Bihar,2023,December,Qwen/Qwen3-32B,78.4
Bileipada,Odisha,2023,January,Qwen/Qwen3-32B,45.6
Bileipada,Odisha,2023,February,Qwen/Qwen3-32B,45.6
Bileipada,Odisha,2023,March,Qwen/Qwen3-32B,45.6
Bileipada,Odisha,2023,April,Qwen/Qwen3-32B,45.6
Bileipada,Odisha,2023,May,Qwen/Qwen3-32B,45.6
