city,state,year,month,model,pm2.5_0,pm2.5_1,pm2.5_2,pm2.5_3,pm2.5_4,pm2.5_5,pm2.5_6,pm2.5_7,pm2.5_8,pm2.5_9
Agartala,Tripura,2023,January,google/gemma-2-27b-it,79.0,79.0,63.0,65.0,73.0,78.0,92.0,72.0,66.0,75.0
Agartala,Tripura,2023,February,google/gemma-2-27b-it,78.0,72.0,78.0,68.0,72.0,72.0,76.0,67.0,52.0,78.0
Agartala,Tripura,2023,March,google/gemma-2-27b-it,68.0,45.2,79.0,65.0,68.0,54.0,51.0,45.0,58.0,52.0
Agartala,Tripura,2023,April,google/gemma-2-27b-it,42.0,58.0,42.0,68.0,65.0,54.0,73.0,42.0,59.0,47.0
Agartala,Tripura,2023,May,google/gemma-2-27b-it,48.0,45.0,59.0,45.0,65.0,65.0,48.0,45.0,58.0,57.4
Agartala,Tripura,2023,June,google/gemma-2-27b-it,52.0,45.0,42.0,42.0,52.0,47.0,42.0,45.0,45.0,42.0
Agartala,Tripura,2023,July,google/gemma-2-27b-it,45.0,52.0,51.0,45.0,42.0,42.0,45.0,45.0,54.0,47.0
Agartala,Tripura,2023,August,google/gemma-2-27b-it,45.0,52.0,45.0,45.0,63.0,52.0,42.0,62.0,45.0,45.0
Agartala,Tripura,2023,September,google/gemma-2-27b-it,47.0,52.0,42.0,45.0,42.0,45.0,57.0,45.0,45.0,45.0
Agartala,Tripura,2023,October,google/gemma-2-27b-it,45.0,45.0,45.0,75.0,62.0,45.0,48.0,51.0,51.0,52.0
Agartala,Tripura,2023,November,google/gemma-2-27b-it,72.0,75.0,78.0,75.0,75.0,78.0,62.0,78.0,102.0,75.0
Agartala,Tripura,2023,December,google/gemma-2-27b-it,52.0,75.0,68.0,85.0,72.0,75.0,45.0,72.0,75.0,67.0
Agra,Uttar Pradesh,2023,January,google/gemma-2-27b-it,167.0,154.0,148.0,118.0,162.0,198.0,132.0,125.0,109.0,118.0
Agra,Uttar Pradesh,2023,February,google/gemma-2-27b-it,107.0,125.0,125.0,112.0,109.0,112.0,130.0,125.0,125.0,112.0
Agra,Uttar Pradesh,2023,March,google/gemma-2-27b-it,103.0,102.0,102.0,101.0,102.0,107.0,102.0,107.0,107.0,102.0
Agra,Uttar Pradesh,2023,April,google/gemma-2-27b-it,102.0,102.0,102.0,102.0,102.0,102.0,102.0,112.0,102.0,112.0
Agra,Uttar Pradesh,2023,May,google/gemma-2-27b-it,78.0,78.0,102.0,78.0,103.0,92.0,102.0,87.0,112.0,102.0
Agra,Uttar Pradesh,2023,June,google/gemma-2-27b-it,65.0,72.0,72.0,75.0,72.0,87.0,78.0,78.0,72.0,79.0
Agra,Uttar Pradesh,2023,July,google/gemma-2-27b-it,72.0,87.0,68.0,102.0,97.0,75.0,85.0,72.0,75.0,78.0
Agra,Uttar Pradesh,2023,August,google/gemma-2-27b-it,75.0,75.0,68.0,78.0,78.0,102.0,65.0,78.0,65.0,72.0
Agra,Uttar Pradesh,2023,September,google/gemma-2-27b-it,75.0,67.0,78.0,78.0,78.0,75.0,75.0,104.0,102.0,78.0
