city,state,year,month,model,PM2.5_0,PM2.5_1,PM2.5_2,PM2.5_3,PM2.5_4,PM2.5_5,PM2.5_6,PM2.5_7,PM2.5_8,PM2.5_9
Agartala,Tripura,2023,January,google/gemma-2-9b-it,35.8,46.3,35.7,34.2,54.0,44.3,47.2,38.5,37.8,54.2
Agartala,Tripura,2023,February,google/gemma-2-9b-it,37.8,46.3,47.8,36.8,35.7,46.8,37.8,48.0,38.5,39.8
Agartala,Tripura,2023,March,google/gemma-2-9b-it,37.8,44.2,49.7,45.7,42.3,38.5,34.8,35.8,35.7,35.3
Agartala,Tripura,2023,April,google/gemma-2-9b-it,40.2,37.8,35.2,38.7,43.2,43.7,28.0,36.8,38.2,41.2
Agartala,Tripura,2023,May,google/gemma-2-9b-it,56.8,38.0,49.3,36.0,46.7,37.8,43.8,41.2,33.2,50.2
Agartala,Tripura,2023,June,google/gemma-2-9b-it,35.2,30.8,18.7,35.2,33.7,34.5,35.7,37.8,45.3,35.2
Agartala,Tripura,2023,July,google/gemma-2-9b-it,38.5,38.0,40.8,42.3,18.5,45.2,52.3,43.2,38.7,31.0
Agartala,Tripura,2023,August,google/gemma-2-9b-it,50.2,44.5,27.8,27.8,28.5,35.0,39.7,32.7,44.2,35.8
Agartala,Tripura,2023,September,google/gemma-2-9b-it,36.8,35.7,37.2,40.2,17.2,29.8,40.7,44.9,27.8,36.2
Agartala,Tripura,2023,October,google/gemma-2-9b-it,35.2,42.8,32.5,35.2,35.2,38.5,35.2,37.5,37.5,38.5
Agartala,Tripura,2023,November,google/gemma-2-9b-it,35.2,18.0,32.5,28.5,35.7,34.7,45.2,32.0,71.2,35.2
Agartala,Tripura,2023,December,google/gemma-2-9b-it,75.2,35.2,25.3,27.8,17.0,15.0,35.2,35.8,38.5,18.5
Agra,Uttar Pradesh,2023,January,google/gemma-2-9b-it,125.8,142.5,158.0,77.0,93.0,157.0,158.0,108.0,148.2,158.0
Agra,Uttar Pradesh,2023,February,google/gemma-2-9b-it,156.0,158.0,106.2,153.0,138.7,121.0,112.7,108.0,147.8,181.0
Agra,Uttar Pradesh,2023,March,google/gemma-2-9b-it,127.8,108.0,110.5,107.5,103.5,85.2,115.5,143.0,115.2,157.0
Agra,Uttar Pradesh,2023,April,google/gemma-2-9b-it,170.2,128.8,105.0,107.8,180.0,75.2,127.8,100.5,132.5,107.0
Agra,Uttar Pradesh,2023,May,google/gemma-2-9b-it,105.0,103.7,102.5,109.0,118.0,102.0,102.0,114.2,78.2,108.0
Agra,Uttar Pradesh,2023,June,google/gemma-2-9b-it,105.0,150.8,128.5,102.8,104.2,182.4,107.0,85.2,127.8,63.2
Agra,Uttar Pradesh,2023,July,google/gemma-2-9b-it,75.2,154.2,125.0,123.5,55.7,115.6,128.0,80.5,102.5,122.0
Agra,Uttar Pradesh,2023,August,google/gemma-2-9b-it,125.6,125.0,85.2,157.0,108.0,102.0,104.5,105.0,104.0,123.0
Agra,Uttar Pradesh,2023,September,google/gemma-2-9b-it,118.2,125.3,107.8,125.0,102.0,108.0,105.0,105.0,115.7,105.0
Agra,Uttar Pradesh,2023,October,google/gemma-2-9b-it,150.6,125.0,105.0,105.0,150.0,100.5,150.0,105.0,125.0,100.0
Agra,Uttar Pradesh,2023,November,google/gemma-2-9b-it,108.0,155.6,75.2,105.0,151.0,105.0,105.0,125.0,150.2,100.0
Agra,Uttar Pradesh,2023,December,google/gemma-2-9b-it,150.0,100.0,100.5,108.0,150.0,180.0,150.0,65.7,100.5,120.0
Ahmedabad,Gujarat,2023,January,google/gemma-2-9b-it,67.8,81.0,56.0,87.5,102.5,102.5,71.5,80.0,59.8,74.3
Ahmedabad,Gujarat,2023,February,google/gemma-2-9b-it,65.0,58.7,48.7,57.8,51.0,60.8,46.0,80.2,85.2,54.0
Ahmedabad,Gujarat,2023,March,google/gemma-2-9b-it,56.0,70.5,50.2,60.8,62.3,58.0,66.7,75.8,38.0,53.2
Ahmedabad,Gujarat,2023,April,google/gemma-2-9b-it,70.2,57.0,70.2,49.0,44.0,49.7,45.2,37.87,53.7,62.2
Ahmedabad,Gujarat,2023,May,google/gemma-2-9b-it,57.8,57.8,54.8,55.0,47.8,83.4,68.7,48.0,54.2,68.7
Ahmedabad,Gujarat,2023,June,google/gemma-2-9b-it,65.2,70.3,70.8,62.7,64.8,48.0,58.0,58.2,54.8,38.7
Ahmedabad,Gujarat,2023,July,google/gemma-2-9b-it,75.2,47.8,48.7,46.7,42.0,44.2,47.8,54.2,65.3,49.0
Ahmedabad,Gujarat,2023,August,google/gemma-2-9b-it,67.2,65.2,47.2,65.8,48.7,76.8,45.2,55.2,38.2,45.2
Ahmedabad,Gujarat,2023,September,google/gemma-2-9b-it,52.0,45.6,55.0,55.0,56.0,48.0,58.2,68.3,57.8,50.2
Ahmedabad,Gujarat,2023,October,google/gemma-2-9b-it,38.7,50.3,45.0,75.2,40.2,62.8,105.0,85.2,45.0,45.6
Ahmedabad,Gujarat,2023,November,google/gemma-2-9b-it,40.0,50.2,35.2,45.8,50.0,50.2,45.0,45.2,45.3,37.8
Ahmedabad,Gujarat,2023,December,google/gemma-2-9b-it,50.3,42.7,65.2,65.0,45.7,35.0,45.2,35.2,38.0,45.2
Aizawl,Mizoram,2023,January,google/gemma-2-9b-it,30.7,28.0,32.8,34.7,46.2,32.5,18.5,29.8,29.1,17.0
Aizawl,Mizoram,2023,February,google/gemma-2-9b-it,18.7,28.3,34.5,29.3,20.8,33.4,28.3,18.7,28.5,28.3
Aizawl,Mizoram,2023,March,google/gemma-2-9b-it,31.5,27.8,28.3,30.2,32.5,29.8,34.2,37.8,30.8,25.8
Aizawl,Mizoram,2023,April,google/gemma-2-9b-it,29.8,28.2,23.0,20.8,24.8,30.8,31.2,42.3,34.8,28.3
Aizawl,Mizoram,2023,May,google/gemma-2-9b-it,34.2,31.7,30.8,31.5,28.0,36.2,29.8,18.7,30.8,25.3
