city,state,year,month,model,pm2.5_0,pm2.5_1,pm2.5_2,pm2.5_3,pm2.5_4,pm2.5_5,pm2.5_6,pm2.5_7,pm2.5_8,pm2.5_9
Agartala,Tripura,2023,January,meta-llama/Llama-3.1-8B-Instruct,15.0,12.0,26.0,17.0,24.0,11.0,15.0,24.0,17.0,12.0
Agartala,Tripura,2023,February,meta-llama/Llama-3.1-8B-Instruct,14.0,15.0,25.0,17.0,26.0,13.0,19.0,11.0,26.0,11.0
Agartala,Tripura,2023,March,meta-llama/Llama-3.1-8B-Instruct,24.0,24.0,15.0,11.0,34.0,18.0,21.0,24.0,14.0,27.0
Agartala,Tripura,2023,April,meta-llama/Llama-3.1-8B-Instruct,26.0,23.0,13.0,25.0,35.0,39.0,25.0,23.0,12.0,24.0
Agartala,Tripura,2023,May,meta-llama/Llama-3.1-8B-Instruct,35.0,,2.0,24.0,24.0,24.0,24.0,,29.0,35.0
Agartala,Tripura,2023,June,meta-llama/Llama-3.1-8B-Instruct,24.0,2.0,,41.0,,,25.0,2.0,44.0,
Agartala,Tripura,2023,July,meta-llama/Llama-3.1-8B-Instruct,,,,2.5,24.0,,41.0,,,
Agartala,Tripura,2023,August,meta-llama/Llama-3.1-8B-Instruct,,,,,,,,2.5,,
Agartala,Tripura,2023,September,meta-llama/Llama-3.1-8B-Instruct,,,,,,,,,,
Agartala,Tripura,2023,October,meta-llama/Llama-3.1-8B-Instruct,,,,2.0,,,,,,
Agartala,Tripura,2023,November,meta-llama/Llama-3.1-8B-Instruct,,,,,,,,,,
Agartala,Tripura,2023,December,meta-llama/Llama-3.1-8B-Instruct,,,,,,,,,,
Agra,Uttar Pradesh,2023,January,meta-llama/Llama-3.1-8B-Instruct,27.0,22.0,21.0,32.0,30.0,32.0,26.0,27.0,35.0,35.0
Agra,Uttar Pradesh,2023,February,meta-llama/Llama-3.1-8B-Instruct,25.0,58.0,35.0,26.0,32.0,25.0,25.0,25.0,34.0,37.0
Agra,Uttar Pradesh,2023,March,meta-llama/Llama-3.1-8B-Instruct,58.0,34.0,38.0,61.0,35.0,45.0,61.0,25.0,35.0,24.5
Agra,Uttar Pradesh,2023,April,meta-llama/Llama-3.1-8B-Instruct,43.0,43.0,61.0,37.0,51.0,43.0,25.0,45.0,41.0,31.0
Agra,Uttar Pradesh,2023,May,meta-llama/Llama-3.1-8B-Instruct,35.0,25.0,61.0,24.0,41.0,41.0,43.0,41.0,39.0,54.0
Agra,Uttar Pradesh,2023,June,meta-llama/Llama-3.1-8B-Instruct,41.0,61.0,25.0,61.0,2.5,54.0,34.0,41.0,51.0,59.0
