city,state,year,month,model,pm2.5_0,pm2.5_1,pm2.5_2,pm2.5_3,pm2.5_4,pm2.5_5,pm2.5_6,pm2.5_7,pm2.5_8,pm2.5_9
Agartala,Tripura,2023,January,Qwen/Qwen3-32B,45.6,45.6,45.6,45.6,45.6,45.6,45.6,58.6,45.7,45.6
Agartala,Tripura,2023,February,Qwen/Qwen3-32B,45.6,45.7,54.7,45.6,58.6,45.6,38.5,45.7,45.6,45.6
Agartala,Tripura,2023,March,Qwen/Qwen3-32B,45.6,45.6,45.6,45.6,45.6,45.6,42.5,45.6,45.6,45.6
Agartala,Tripura,2023,April,Qwen/Qwen3-32B,45.6,45.6,45.6,54.3,45.6,45.6,38.7,45.6,54.3,54.6
Agartala,Tripura,2023,May,Qwen/Qwen3-32B,45.6,37.4,45.6,45.6,45.6,45.7,45.6,45.6,58.3,45.6
Agartala,Tripura,2023,June,Qwen/Qwen3-32B,45.6,52.7,32.5,35.7,45.6,45.6,35.7,45.6,45.6,45.6
Agartala,Tripura,2023,July,Qwen/Qwen3-32B,45.6,45.6,35.7,35.6,45.6,45.6,52.3,45.6,54.7,45.6
Agartala,Tripura,2023,August,Qwen/Qwen3-32B,54.7,45.6,45.6,45.6,45.6,45.6,45.6,45.6,34.5,45.6
Agartala,Tripura,2023,September,Qwen/Qwen3-32B,45.6,42.5,45.7,45.6,45.6,38.4,45.6,45.6,45.6,45.6
Agartala,Tripura,2023,October,Qwen/Qwen3-32B,58.3,45.6,45.6,45.6,45.6,54.2,45.6,45.6,52.3,45.6
Agartala,Tripura,2023,November,Qwen/Qwen3-32B,45.6,58.6,78.5,45.7,45.6,45.6,45.6,54.3,58.3,45.6
Agartala,Tripura,2023,December,Qwen/Qwen3-32B,45.6,68.5,58.7,58.3,45.7,45.6,54.3,120.5,78.6,45.6
Agra,Uttar Pradesh,2023,January,Qwen/Qwen3-32B,150.0,150.0,150.2,150.2,150.0,150.6,150.0,150.3,150.0,150.3
Agra,Uttar Pradesh,2023,February,Qwen/Qwen3-32B,150.0,150.3,150.2,150.0,150.2,150.0,150.0,150.0,150.0,150.3
Agra,Uttar Pradesh,2023,March,Qwen/Qwen3-32B,150.3,78.4,85.6,85.6,150.0,58.3,78.6,150.3,78.6,85.6
Agra,Uttar Pradesh,2023,April,Qwen/Qwen3-32B,75.6,68.4,78.4,78.4,65.0,150.2,150.6,75.6,85.0,65.4
Agra,Uttar Pradesh,2023,May,Qwen/Qwen3-32B,45.6,45.6,45.6,45.6,78.6,78.4,48.6,45.6,78.4,65.3
Agra,Uttar Pradesh,2023,June,Qwen/Qwen3-32B,45.6,45.6,38.4,150.0,45.6,55.7,45.6,68.4,58.7,45.6
Agra,Uttar Pradesh,2023,July,Qwen/Qwen3-32B,45.6,45.6,58.2,45.6,35.6,45.6,45.6,35.6,45.6,45.6
Agra,Uttar Pradesh,2023,August,Qwen/Qwen3-32B,45.6,38.5,38.5,35.6,54.2,58.2,58.7,45.6,45.6,58.6
Agra,Uttar Pradesh,2023,September,Qwen/Qwen3-32B,54.3,45.6,45.6,45.6,45.6,54.6,32.5,85.0,45.6,65.4
Agra,Uttar Pradesh,2023,October,Qwen/Qwen3-32B,150.0,78.5,65.4,85.6,150.0,150.0,58.7,150.0,58.7,150.7
