city,state,has_wikipedia,matched_news_city,media_count
agra,Uttar Pradesh,True,agra,88.0
ahmedabad,Gujarat,True,ahmedabad,239.0
aizawl,Mizoram,True,aizawl,1.0
ajmer,Rajasthan,True,ajmer,3.0
alwar,Rajasthan,True,,0.0
amaravati,Andhra Pradesh,True,amaravati,7.0
ambala,Haryana,True,,0.0
amritsar,Punjab,True,amritsar,43.0
ankleshwar,Gujarat,True,,0.0
araria,Bihar,True,,0.0
arrah,Bihar,True,,0.0
asansol,West Bengal,True,,0.0
bagalkot,Karnataka,True,,0.0
bahadurgarh,Haryana,True,,0.0
ballabgarh,Haryana,True,,0.0
bathinda,Punjab,True,,0.0
bengaluru,Karnataka,True,bengaluru,537.0
bettiah,Bihar,True,,0.0
bhagalpur,Bihar,True,,0.0
bhiwadi,Rajasthan,True,,0.0
bhiwani,Haryana,True,,0.0
bhopal,Madhya Pradesh,True,bhopal,74.0
bihar sharif,Bihar,True,,0.0
bilaspur,Chhattisgarh,True,,0.0
bulandshahr,Uttar Pradesh,True,,0.0
chamarajanagar,Karnataka,True,,0.0
chandigarh,Chandigarh,True,chandigarh,621.0
charkhi dadri,Haryana,True,,0.0
chennai,Tamil Nadu,True,chennai,488.0
chhapra,Bihar,True,,0.0
chikkaballapur,Karnataka,True,,0.0
chikkamagaluru,Karnataka,True,mangaluru,62.0
damoh,Madhya Pradesh,True,,0.0
davanagere,Karnataka,True,,0.0
delhi,Delhi,True,delhi,5285.0
dharuhera,Haryana,True,,0.0
durgapur,West Bengal,True,,0.0
eloor,Kerala,True,koviloor,1.0
faridabad,Haryana,True,faridabad,51.0
fatehabad,Haryana,True,fatehabad,1.0
firozabad,Uttar Pradesh,True,,0.0
gadag,Karnataka,True,,0.0
gandhinagar,Gujarat,True,gandhinagar,1.0
gaya,Bihar,True,gaya,2.0
ghaziabad,Uttar Pradesh,True,ghaziabad,86.0
gorakhpur,Uttar Pradesh,True,,0.0
greater noida,Uttar Pradesh,True,greaternoida,1.0
gummidipoondi,Tamil Nadu,True,,0.0
gurugram,Haryana,True,gurugram,849.0
guwahati,Assam,True,guwahati,39.0
gwalior,Madhya Pradesh,True,,0.0
hajipur,Bihar,True,,0.0
hapur,Uttar Pradesh,True,thiruvananthapuram,94.0
hassan,Karnataka,True,hassan,5.0
hisar,Haryana,True,,0.0
howrah,West Bengal,True,,0.0
hubballi,Karnataka,True,hubballi,30.0
hyderabad,Telangana,True,hyderabad,386.0
indore,Madhya Pradesh,True,indore,41.0
jabalpur,Madhya Pradesh,True,,0.0
