city,state,matched_city,level,population,score
agartala,tripura,,,,
agra,uttar pradesh,,district,4418797.0,100.0
ahmedabad,gujarat,,district,7214225.0,88.88888888888889
aizawl,mizoram,,district,400309.0,100.0
ajmer,rajasthan,,district,2583052.0,100.0
alwar,rajasthan,,district,3674179.0,100.0
amaravati,andhra pradesh,,sub-district,66277.0,94.73684210526316
ambala,haryana,,district,1128350.0,100.0
amritsar,punjab,,district,2490656.0,100.0
anantapur,andhra pradesh,,district,4081148.0,100.0
ankleshwar,gujarat,,,,
araria,bihar,,district,2811569.0,100.0
ariyalur,tamil nadu,,district,754894.0,100.0
arrah,bihar,,sub-district,462618.0,100.0
asansol,west bengal,,,,
aurangabad,bihar,,district,2540073.0,100.0
aurangabad,maharashtra,,district,3701282.0,100.0
baddi,himachal pradesh,,sub-district,90942.0,100.0
bagalkot,karnataka,,district,1889752.0,100.0
baghpat,uttar pradesh,,district,1303048.0,100.0
bahadurgarh,haryana,,sub-district,403746.0,100.0
ballabgarh,haryana,,sub-district,214894.0,100.0
bareilly,uttar pradesh,,district,4448359.0,100.0
baripada,odisha,,sub-district,87091.0,90.0
bathinda,punjab,,district,1388525.0,100.0
begusarai,bihar,,district,2970541.0,100.0
belgaum,karnataka,,district,4779661.0,100.0
bengaluru,karnataka,,sub-district,85255.0,90.0
bettiah,bihar,,sub-district,224200.0,100.0
bhagalpur,bihar,,district,3037766.0,100.0
bhilai,chhattisgarh,,,,
bhiwadi,rajasthan,,,,
bhiwani,haryana,,district,1634445.0,100.0
bhopal,madhya pradesh,,district,2371061.0,100.0
bihar sharif,bihar,,sub-district,494489.0,90.0
bilaspur,chhattisgarh,,district,2663629.0,100.0
bileipada,odisha,,,,
brajrajnagar,odisha,,sub-district,26484.0,96.0
bulandshahr,uttar pradesh,,district,3499171.0,100.0
byrnihat,assam,,,,
chamarajanagar,karnataka,,district,1020791.0,100.0
chandigarh,chandigarh,,district,1055450.0,100.0
chandrapur,maharashtra,,district,2204307.0,100.0
charkhi dadri,haryana,,sub-district,384192.0,90.0
chennai,tamil nadu,,district,4646732.0,100.0
chhal,chhattisgarh,,,,
chhapra,bihar,,sub-district,442639.0,92.3076923076923
chikkaballapur,karnataka,,district,1255104.0,96.55172413793103
chikkamagaluru,karnataka,,district,1137961.0,88.0
chittoor,andhra pradesh,,district,4174064.0,100.0
damoh,madhya pradesh,,district,1264219.0,100.0
davanagere,karnataka,,district,1945497.0,100.0
dehradun,uttarakhand,,district,1696694.0,100.0
delhi,nct of delhi,,district,142004.0,90.0
dewas,madhya pradesh,,district,1563715.0,100.0
dharuhera,haryana,,,,
dharwad,karnataka,,district,1847023.0,100.0
durgapur,west bengal,,sub-district,115924.0,90.0
eloor,kerala,,,,
faridabad,haryana,,district,1809733.0,100.0
fatehabad,haryana,,district,942011.0,100.0
firozabad,uttar pradesh,,district,2498156.0,100.0
gadag,karnataka,,district,1064570.0,100.0
gandhinagar,gujarat,,district,1391753.0,100.0
gangtok,sikkim,,sub-district,219450.0,100.0
gaya,bihar,,district,4391418.0,100.0
ghaziabad,uttar pradesh,,district,4681645.0,100.0
gorakhpur,uttar pradesh,,district,4440895.0,100.0
greater noida,uttar pradesh,,,,
gummidipoondi,tamil nadu,,sub-district,190541.0,100.0
gurugram,haryana,,,,
guwahati,assam,,sub-district,433771.0,100.0
gwalior,madhya pradesh,,district,2032036.0,100.0
hajipur,bihar,,sub-district,443976.0,100.0
haldia,west bengal,,sub-district,97992.0,100.0
hapur,uttar pradesh,,sub-district,953480.0,100.0
hassan,karnataka,,district,1776421.0,100.0
haveri,karnataka,,district,1597668.0,100.0
hisar,haryana,,district,1743931.0,100.0
hosur,tamil nadu,,sub-district,539663.0,100.0
howrah,west bengal,,,,
hubballi,karnataka,,,,
hyderabad,telangana,,,,
indore,madhya pradesh,,district,3276697.0,100.0
jabalpur,madhya pradesh,,district,2463289.0,100.0
jaipur,rajasthan,,district,6626178.0,100.0
jalandhar,punjab,,district,2193590.0,100.0
jhansi,uttar pradesh,,district,1998603.0,100.0
jind,haryana,,district,1334152.0,100.0
jodhpur,rajasthan,,district,3687165.0,100.0
kadapa,andhra pradesh,,sub-district,318916.0,100.0
kaithal,haryana,,district,1074304.0,100.0
kalaburagi,karnataka,,,,
kalyan,maharashtra,,sub-district,1565417.0,100.0
