City,State
Porbandar,Gujarat
Veraval,Gujarat
Bhavnagar,Gujarat
Okha,Gujarat
Surat,Gujarat
Dwarka,Gujarat
Jamnagar,Gujarat
Mandvi,Gujarat
mumbai,Maharashtra
navi mumbai,Maharashtra
Alibaug,Maharashtra
Ratnagiri,Maharashtra
Malvan,Maharashtra
panaji,Goa
vasco da gama,Goa
Margao,Goa
mangalore,Karnataka
Karwar,Karnataka
Udupi,Karnataka
Gokarna,Karnataka
kochi,Kerala
kollam,Kerala
thiruvananthapuram,Kerala
Varkala,Kerala
chennai,Tamil Nadu
Tuticorin,Tamil Nadu
Cuddalore,Tamil Nadu
Nagapattinam,Tamil Nadu
Mahabalipuram,Tamil Nadu
Kanyakumari,Tamil Nadu
visakhapatnam,Andhra Pradesh
kakinada,Andhra Pradesh
Nellore,Andhra Pradesh
Machilipatnam,Andhra Pradesh
Paradip,Odisha
Puri,Odisha
Gopalpur,Odisha
Dhamra,Odisha
haldia,West Bengal
Digha,West Bengal
Diamond Harbour,West Bengal
Contai,West Bengal
Bakkhali,West Bengal
puducherry,Puducherry
Port Blair,Andaman and Nicobar Islands
Havelock Island,Andaman and Nicobar Islands
Kavaratti,Lakshadweep
Agatti,Lakshadweep
Daman,Dadra and Nagar Haveli and Daman and Diu
Diu,Dadra and Nagar Haveli and Daman and Diu
