city,state,year,month,model,pm2.5
agra,uttar pradesh,2023,January,google/gemma-2-27b-it,125.0
agra,uttar pradesh,2023,February,google/gemma-2-27b-it,112.0
agra,uttar pradesh,2023,March,google/gemma-2-27b-it,102.0
agra,uttar pradesh,2023,April,google/gemma-2-27b-it,102.0
agra,uttar pradesh,2023,May,google/gemma-2-27b-it,102.0
agra,uttar pradesh,2023,June,google/gemma-2-27b-it,102.0
agra,uttar pradesh,2023,July,google/gemma-2-27b-it,102.0
agra,uttar pradesh,2023,August,google/gemma-2-27b-it,78.0
agra,uttar pradesh,2023,September,google/gemma-2-27b-it,102.0
agra,uttar pradesh,2023,October,google/gemma-2-27b-it,102.0
agra,uttar pradesh,2023,November,google/gemma-2-27b-it,125.0
agra,uttar pradesh,2023,December,google/gemma-2-27b-it,125.0
ahmedabad,gujarat,2023,January,google/gemma-2-27b-it,102.0
ahmedabad,gujarat,2023,February,google/gemma-2-27b-it,102.0
ahmedabad,gujarat,2023,March,google/gemma-2-27b-it,78.0
ahmedabad,gujarat,2023,April,google/gemma-2-27b-it,78.0
ahmedabad,gujarat,2023,May,google/gemma-2-27b-it,72.0
ahmedabad,gujarat,2023,June,google/gemma-2-27b-it,52.0
ahmedabad,gujarat,2023,July,google/gemma-2-27b-it,45.0
ahmedabad,gujarat,2023,August,google/gemma-2-27b-it,45.0
ahmedabad,gujarat,2023,September,google/gemma-2-27b-it,72.0
ahmedabad,gujarat,2023,October,google/gemma-2-27b-it,78.0
ahmedabad,gujarat,2023,November,google/gemma-2-27b-it,102.0
ahmedabad,gujarat,2023,December,google/gemma-2-27b-it,102.0
amaravati,andhra pradesh,2023,January,google/gemma-2-27b-it,72.0
amaravati,andhra pradesh,2023,February,google/gemma-2-27b-it,45.0
amaravati,andhra pradesh,2023,March,google/gemma-2-27b-it,45.0
amaravati,andhra pradesh,2023,April,google/gemma-2-27b-it,45.0
amaravati,andhra pradesh,2023,May,google/gemma-2-27b-it,45.0
amaravati,andhra pradesh,2023,June,google/gemma-2-27b-it,45.0
amaravati,andhra pradesh,2023,July,google/gemma-2-27b-it,42.0
amaravati,andhra pradesh,2023,August,google/gemma-2-27b-it,45.0
amaravati,andhra pradesh,2023,September,google/gemma-2-27b-it,45.0
amaravati,andhra pradesh,2023,October,google/gemma-2-27b-it,45.0
amaravati,andhra pradesh,2023,November,google/gemma-2-27b-it,45.0
amaravati,andhra pradesh,2023,December,google/gemma-2-27b-it,45.0
anantapur,andhra pradesh,2023,January,google/gemma-2-27b-it,72.0
anantapur,andhra pradesh,2023,February,google/gemma-2-27b-it,72.0
anantapur,andhra pradesh,2023,March,google/gemma-2-27b-it,45.0
anantapur,andhra pradesh,2023,April,google/gemma-2-27b-it,45.0
anantapur,andhra pradesh,2023,May,google/gemma-2-27b-it,45.0
anantapur,andhra pradesh,2023,June,google/gemma-2-27b-it,45.0
anantapur,andhra pradesh,2023,July,google/gemma-2-27b-it,42.0
anantapur,andhra pradesh,2023,August,google/gemma-2-27b-it,42.0
anantapur,andhra pradesh,2023,September,google/gemma-2-27b-it,45.0
anantapur,andhra pradesh,2023,October,google/gemma-2-27b-it,45.0
anantapur,andhra pradesh,2023,November,google/gemma-2-27b-it,45.0
anantapur,andhra pradesh,2023,December,google/gemma-2-27b-it,45.0
araria,bihar,2023,January,google/gemma-2-27b-it,102.0
araria,bihar,2023,February,google/gemma-2-27b-it,102.0
araria,bihar,2023,March,google/gemma-2-27b-it,102.0
araria,bihar,2023,April,google/gemma-2-27b-it,78.0
araria,bihar,2023,May,google/gemma-2-27b-it,78.0
araria,bihar,2023,June,google/gemma-2-27b-it,78.0
araria,bihar,2023,July,google/gemma-2-27b-it,78.0
araria,bihar,2023,August,google/gemma-2-27b-it,78.0
araria,bihar,2023,September,google/gemma-2-27b-it,78.0
araria,bihar,2023,October,google/gemma-2-27b-it,102.0
araria,bihar,2023,November,google/gemma-2-27b-it,102.0
araria,bihar,2023,December,google/gemma-2-27b-it,102.0
ariyalur,tamil nadu,2023,January,google/gemma-2-27b-it,42.0
ariyalur,tamil nadu,2023,February,google/gemma-2-27b-it,45.0
ariyalur,tamil nadu,2023,March,google/gemma-2-27b-it,42.0
ariyalur,tamil nadu,2023,April,google/gemma-2-27b-it,42.0
ariyalur,tamil nadu,2023,May,google/gemma-2-27b-it,42.0
ariyalur,tamil nadu,2023,June,google/gemma-2-27b-it,42.0
ariyalur,tamil nadu,2023,July,google/gemma-2-27b-it,42.0
ariyalur,tamil nadu,2023,August,google/gemma-2-27b-it,42.0
ariyalur,tamil nadu,2023,September,google/gemma-2-27b-it,42.0
ariyalur,tamil nadu,2023,October,google/gemma-2-27b-it,42.0
ariyalur,tamil nadu,2023,November,google/gemma-2-27b-it,45.0
ariyalur,tamil nadu,2023,December,google/gemma-2-27b-it,45.0
arrah,bihar,2023,January,google/gemma-2-27b-it,102.0
arrah,bihar,2023,February,google/gemma-2-27b-it,102.0
arrah,bihar,2023,March,google/gemma-2-27b-it,102.0
arrah,bihar,2023,April,google/gemma-2-27b-it,78.0
arrah,bihar,2023,May,google/gemma-2-27b-it,78.0
arrah,bihar,2023,June,google/gemma-2-27b-it,78.0
arrah,bihar,2023,July,google/gemma-2-27b-it,78.0
arrah,bihar,2023,August,google/gemma-2-27b-it,78.0
arrah,bihar,2023,September,google/gemma-2-27b-it,78.0
arrah,bihar,2023,October,google/gemma-2-27b-it,102.0
arrah,bihar,2023,November,google/gemma-2-27b-it,102.0
arrah,bihar,2023,December,google/gemma-2-27b-it,102.0
aurangabad,bihar,2023,January,google/gemma-2-27b-it,102.0
aurangabad,bihar,2023,February,google/gemma-2-27b-it,102.0
aurangabad,bihar,2023,March,google/gemma-2-27b-it,78.0
aurangabad,bihar,2023,April,google/gemma-2-27b-it,78.0
aurangabad,bihar,2023,May,google/gemma-2-27b-it,78.0
aurangabad,bihar,2023,June,google/gemma-2-27b-it,45.0
aurangabad,bihar,2023,July,google/gemma-2-27b-it,45.0
aurangabad,bihar,2023,August,google/gemma-2-27b-it,45.0
aurangabad,bihar,2023,September,google/gemma-2-27b-it,45.0
aurangabad,bihar,2023,October,google/gemma-2-27b-it,78.0
aurangabad,bihar,2023,November,google/gemma-2-27b-it,78.0
aurangabad,bihar,2023,December,google/gemma-2-27b-it,78.0
baddi,himachal pradesh,2023,January,google/gemma-2-27b-it,45.0
baddi,himachal pradesh,2023,February,google/gemma-2-27b-it,45.0
baddi,himachal pradesh,2023,March,google/gemma-2-27b-it,45.0
baddi,himachal pradesh,2023,April,google/gemma-2-27b-it,42.0
baddi,himachal pradesh,2023,May,google/gemma-2-27b-it,45.0
baddi,himachal pradesh,2023,June,google/gemma-2-27b-it,42.0
baddi,himachal pradesh,2023,July,google/gemma-2-27b-it,42.0
baddi,himachal pradesh,2023,August,google/gemma-2-27b-it,42.0
baddi,himachal pradesh,2023,September,google/gemma-2-27b-it,45.0
baddi,himachal pradesh,2023,October,google/gemma-2-27b-it,45.0
baddi,himachal pradesh,2023,November,google/gemma-2-27b-it,45.0
baddi,himachal pradesh,2023,December,google/gemma-2-27b-it,45.0
bagalkot,karnataka,2023,January,google/gemma-2-27b-it,45.0
bagalkot,karnataka,2023,February,google/gemma-2-27b-it,45.0
bagalkot,karnataka,2023,March,google/gemma-2-27b-it,42.0
bagalkot,karnataka,2023,April,google/gemma-2-27b-it,42.0
bagalkot,karnataka,2023,May,google/gemma-2-27b-it,42.0
bagalkot,karnataka,2023,June,google/gemma-2-27b-it,42.0
bagalkot,karnataka,2023,July,google/gemma-2-27b-it,42.0
bagalkot,karnataka,2023,August,google/gemma-2-27b-it,42.0
bagalkot,karnataka,2023,September,google/gemma-2-27b-it,45.0
bagalkot,karnataka,2023,October,google/gemma-2-27b-it,45.0
bagalkot,karnataka,2023,November,google/gemma-2-27b-it,45.0
bagalkot,karnataka,2023,December,google/gemma-2-27b-it,45.0
baghpat,uttar pradesh,2023,January,google/gemma-2-27b-it,125.0
baghpat,uttar pradesh,2023,February,google/gemma-2-27b-it,125.0
baghpat,uttar pradesh,2023,March,google/gemma-2-27b-it,102.0
baghpat,uttar pradesh,2023,April,google/gemma-2-27b-it,102.0
baghpat,uttar pradesh,2023,July,google/gemma-2-27b-it,102.0
baghpat,uttar pradesh,2023,August,google/gemma-2-27b-it,78.0
baghpat,uttar pradesh,2023,September,google/gemma-2-27b-it,102.0
baghpat,uttar pradesh,2023,October,google/gemma-2-27b-it,102.0
baghpat,uttar pradesh,2023,November,google/gemma-2-27b-it,125.0
baghpat,uttar pradesh,2023,December,google/gemma-2-27b-it,125.0
ballabgarh,haryana,2023,January,google/gemma-2-27b-it,125.0
ballabgarh,haryana,2023,February,google/gemma-2-27b-it,125.0
ballabgarh,haryana,2023,March,google/gemma-2-27b-it,102.0
ballabgarh,haryana,2023,April,google/gemma-2-27b-it,102.0
ballabgarh,haryana,2023,May,google/gemma-2-27b-it,102.0
ballabgarh,haryana,2023,June,google/gemma-2-27b-it,102.0
ballabgarh,haryana,2023,July,google/gemma-2-27b-it,102.0
ballabgarh,haryana,2023,August,google/gemma-2-27b-it,102.0
ballabgarh,haryana,2023,September,google/gemma-2-27b-it,102.0
ballabgarh,haryana,2023,October,google/gemma-2-27b-it,125.0
ballabgarh,haryana,2023,November,google/gemma-2-27b-it,125.0
ballabgarh,haryana,2023,December,google/gemma-2-27b-it,125.0
bareilly,uttar pradesh,2023,January,google/gemma-2-27b-it,125.0
bareilly,uttar pradesh,2023,February,google/gemma-2-27b-it,102.0
bareilly,uttar pradesh,2023,March,google/gemma-2-27b-it,102.0
bareilly,uttar pradesh,2023,April,google/gemma-2-27b-it,102.0
bareilly,uttar pradesh,2023,May,google/gemma-2-27b-it,102.0
bareilly,uttar pradesh,2023,June,google/gemma-2-27b-it,75.0
bareilly,uttar pradesh,2023,July,google/gemma-2-27b-it,78.0
bareilly,uttar pradesh,2023,August,google/gemma-2-27b-it,78.0
bareilly,uttar pradesh,2023,September,google/gemma-2-27b-it,78.0
bareilly,uttar pradesh,2023,October,google/gemma-2-27b-it,102.0
bareilly,uttar pradesh,2023,November,google/gemma-2-27b-it,125.0
bareilly,uttar pradesh,2023,December,google/gemma-2-27b-it,125.0
baripada,odisha,2023,January,google/gemma-2-27b-it,45.0
baripada,odisha,2023,February,google/gemma-2-27b-it,45.0
baripada,odisha,2023,March,google/gemma-2-27b-it,45.0
baripada,odisha,2023,April,google/gemma-2-27b-it,45.0
baripada,odisha,2023,May,google/gemma-2-27b-it,42.0
baripada,odisha,2023,June,google/gemma-2-27b-it,42.0
baripada,odisha,2023,July,google/gemma-2-27b-it,42.0
baripada,odisha,2023,August,google/gemma-2-27b-it,42.0
baripada,odisha,2023,September,google/gemma-2-27b-it,45.0
baripada,odisha,2023,October,google/gemma-2-27b-it,45.0
baripada,odisha,2023,November,google/gemma-2-27b-it,45.0
baripada,odisha,2023,December,google/gemma-2-27b-it,45.0
begusarai,bihar,2023,January,google/gemma-2-27b-it,102.0
begusarai,bihar,2023,February,google/gemma-2-27b-it,102.0
begusarai,bihar,2023,March,google/gemma-2-27b-it,78.0
begusarai,bihar,2023,April,google/gemma-2-27b-it,78.0
begusarai,bihar,2023,May,google/gemma-2-27b-it,78.0
begusarai,bihar,2023,June,google/gemma-2-27b-it,45.0
begusarai,bihar,2023,July,google/gemma-2-27b-it,45.0
begusarai,bihar,2023,August,google/gemma-2-27b-it,45.0
begusarai,bihar,2023,September,google/gemma-2-27b-it,45.0
begusarai,bihar,2023,October,google/gemma-2-27b-it,75.0
begusarai,bihar,2023,November,google/gemma-2-27b-it,102.0
begusarai,bihar,2023,December,google/gemma-2-27b-it,102.0
belgaum,karnataka,2023,January,google/gemma-2-27b-it,42.0
belgaum,karnataka,2023,February,google/gemma-2-27b-it,42.0
belgaum,karnataka,2023,March,google/gemma-2-27b-it,42.0
belgaum,karnataka,2023,April,google/gemma-2-27b-it,42.0
belgaum,karnataka,2023,May,google/gemma-2-27b-it,42.0
belgaum,karnataka,2023,June,google/gemma-2-27b-it,42.0
belgaum,karnataka,2023,July,google/gemma-2-27b-it,35.0
belgaum,karnataka,2023,August,google/gemma-2-27b-it,35.0
belgaum,karnataka,2023,September,google/gemma-2-27b-it,35.0
belgaum,karnataka,2023,October,google/gemma-2-27b-it,42.0
belgaum,karnataka,2023,November,google/gemma-2-27b-it,45.0
belgaum,karnataka,2023,December,google/gemma-2-27b-it,45.0
bengaluru,karnataka,2023,January,google/gemma-2-27b-it,72.0
bengaluru,karnataka,2023,February,google/gemma-2-27b-it,45.0
bengaluru,karnataka,2023,March,google/gemma-2-27b-it,45.0
bengaluru,karnataka,2023,April,google/gemma-2-27b-it,42.0
bengaluru,karnataka,2023,May,google/gemma-2-27b-it,42.0
bengaluru,karnataka,2023,June,google/gemma-2-27b-it,42.0
bengaluru,karnataka,2023,July,google/gemma-2-27b-it,42.0
bengaluru,karnataka,2023,August,google/gemma-2-27b-it,42.0
bengaluru,karnataka,2023,September,google/gemma-2-27b-it,42.0
bengaluru,karnataka,2023,October,google/gemma-2-27b-it,45.0
bengaluru,karnataka,2023,November,google/gemma-2-27b-it,45.0
bengaluru,karnataka,2023,December,google/gemma-2-27b-it,45.0
bettiah,bihar,2023,January,google/gemma-2-27b-it,102.0
bettiah,bihar,2023,February,google/gemma-2-27b-it,102.0
bettiah,bihar,2023,March,google/gemma-2-27b-it,102.0
bettiah,bihar,2023,April,google/gemma-2-27b-it,78.0
bettiah,bihar,2023,May,google/gemma-2-27b-it,78.0
bettiah,bihar,2023,June,google/gemma-2-27b-it,78.0
bettiah,bihar,2023,July,google/gemma-2-27b-it,78.0
bettiah,bihar,2023,August,google/gemma-2-27b-it,45.0
bettiah,bihar,2023,September,google/gemma-2-27b-it,78.0
bettiah,bihar,2023,October,google/gemma-2-27b-it,102.0
bettiah,bihar,2023,November,google/gemma-2-27b-it,102.0
bettiah,bihar,2023,December,google/gemma-2-27b-it,102.0
bhagalpur,bihar,2023,January,google/gemma-2-27b-it,102.0
bhagalpur,bihar,2023,February,google/gemma-2-27b-it,102.0
bhagalpur,bihar,2023,March,google/gemma-2-27b-it,102.0
bhagalpur,bihar,2023,April,google/gemma-2-27b-it,102.0
bhagalpur,bihar,2023,May,google/gemma-2-27b-it,78.0
bhagalpur,bihar,2023,June,google/gemma-2-27b-it,78.0
bhagalpur,bihar,2023,July,google/gemma-2-27b-it,78.0
bhagalpur,bihar,2023,August,google/gemma-2-27b-it,78.0
bhagalpur,bihar,2023,September,google/gemma-2-27b-it,78.0
bhagalpur,bihar,2023,October,google/gemma-2-27b-it,102.0
bhagalpur,bihar,2023,November,google/gemma-2-27b-it,102.0
bhagalpur,bihar,2023,December,google/gemma-2-27b-it,102.0
bhopal,madhya pradesh,2023,January,google/gemma-2-27b-it,78.0
bhopal,madhya pradesh,2023,February,google/gemma-2-27b-it,78.0
bhopal,madhya pradesh,2023,March,google/gemma-2-27b-it,72.0
bhopal,madhya pradesh,2023,April,google/gemma-2-27b-it,72.0
bhopal,madhya pradesh,2023,May,google/gemma-2-27b-it,72.0
bhopal,madhya pradesh,2023,June,google/gemma-2-27b-it,45.0
bhopal,madhya pradesh,2023,July,google/gemma-2-27b-it,45.0
bhopal,madhya pradesh,2023,August,google/gemma-2-27b-it,45.0
bhopal,madhya pradesh,2023,September,google/gemma-2-27b-it,45.0
bhopal,madhya pradesh,2023,October,google/gemma-2-27b-it,75.0
bhopal,madhya pradesh,2023,November,google/gemma-2-27b-it,75.0
bhopal,madhya pradesh,2023,December,google/gemma-2-27b-it,78.0
bihar sharif,bihar,2023,January,google/gemma-2-27b-it,102.0
bihar sharif,bihar,2023,February,google/gemma-2-27b-it,78.0
bihar sharif,bihar,2023,March,google/gemma-2-27b-it,78.0
bihar sharif,bihar,2023,April,google/gemma-2-27b-it,78.0
bihar sharif,bihar,2023,May,google/gemma-2-27b-it,72.0
bihar sharif,bihar,2023,June,google/gemma-2-27b-it,45.0
bihar sharif,bihar,2023,July,google/gemma-2-27b-it,45.0
bihar sharif,bihar,2023,August,google/gemma-2-27b-it,45.0
bihar sharif,bihar,2023,September,google/gemma-2-27b-it,45.0
bihar sharif,bihar,2023,October,google/gemma-2-27b-it,78.0
bihar sharif,bihar,2023,November,google/gemma-2-27b-it,102.0
bihar sharif,bihar,2023,December,google/gemma-2-27b-it,102.0
bilaspur,chhattisgarh,2023,January,google/gemma-2-27b-it,102.0
bilaspur,chhattisgarh,2023,February,google/gemma-2-27b-it,102.0
bilaspur,chhattisgarh,2023,March,google/gemma-2-27b-it,78.0
bilaspur,chhattisgarh,2023,April,google/gemma-2-27b-it,78.0
bilaspur,chhattisgarh,2023,May,google/gemma-2-27b-it,78.0
bilaspur,chhattisgarh,2023,June,google/gemma-2-27b-it,72.0
bilaspur,chhattisgarh,2023,July,google/gemma-2-27b-it,78.0
bilaspur,chhattisgarh,2023,August,google/gemma-2-27b-it,45.0
bilaspur,chhattisgarh,2023,September,google/gemma-2-27b-it,72.0
bilaspur,chhattisgarh,2023,October,google/gemma-2-27b-it,78.0
bilaspur,chhattisgarh,2023,November,google/gemma-2-27b-it,102.0
bilaspur,chhattisgarh,2023,December,google/gemma-2-27b-it,102.0
brajrajnagar,odisha,2023,January,google/gemma-2-27b-it,102.0
brajrajnagar,odisha,2023,February,google/gemma-2-27b-it,102.0
brajrajnagar,odisha,2023,March,google/gemma-2-27b-it,102.0
brajrajnagar,odisha,2023,April,google/gemma-2-27b-it,102.0
brajrajnagar,odisha,2023,May,google/gemma-2-27b-it,102.0
brajrajnagar,odisha,2023,June,google/gemma-2-27b-it,102.0
brajrajnagar,odisha,2023,July,google/gemma-2-27b-it,102.0
brajrajnagar,odisha,2023,August,google/gemma-2-27b-it,102.0
brajrajnagar,odisha,2023,September,google/gemma-2-27b-it,102.0
brajrajnagar,odisha,2023,October,google/gemma-2-27b-it,102.0
brajrajnagar,odisha,2023,November,google/gemma-2-27b-it,102.0
brajrajnagar,odisha,2023,December,google/gemma-2-27b-it,102.0
bulandshahr,uttar pradesh,2023,January,google/gemma-2-27b-it,125.0
bulandshahr,uttar pradesh,2023,February,google/gemma-2-27b-it,125.0
bulandshahr,uttar pradesh,2023,March,google/gemma-2-27b-it,102.0
bulandshahr,uttar pradesh,2023,April,google/gemma-2-27b-it,102.0
bulandshahr,uttar pradesh,2023,May,google/gemma-2-27b-it,102.0
bulandshahr,uttar pradesh,2023,June,google/gemma-2-27b-it,102.0
bulandshahr,uttar pradesh,2023,July,google/gemma-2-27b-it,102.0
bulandshahr,uttar pradesh,2023,August,google/gemma-2-27b-it,102.0
bulandshahr,uttar pradesh,2023,September,google/gemma-2-27b-it,102.0
bulandshahr,uttar pradesh,2023,October,google/gemma-2-27b-it,112.0
bulandshahr,uttar pradesh,2023,November,google/gemma-2-27b-it,125.0
bulandshahr,uttar pradesh,2023,December,google/gemma-2-27b-it,125.0
chandigarh,chandigarh,2023,January,google/gemma-2-27b-it,102.0
chandigarh,chandigarh,2023,February,google/gemma-2-27b-it,78.0
chandigarh,chandigarh,2023,March,google/gemma-2-27b-it,52.0
chandigarh,chandigarh,2023,April,google/gemma-2-27b-it,45.0
