city,state,year,month,model,pm2.5
agra,uttar pradesh,2023,January,meta-llama/Llama-3.1-8B-Instruct,25.0
agra,uttar pradesh,2023,February,meta-llama/Llama-3.1-8B-Instruct,35.0
agra,uttar pradesh,2023,March,meta-llama/Llama-3.1-8B-Instruct,35.0
agra,uttar pradesh,2023,April,meta-llama/Llama-3.1-8B-Instruct,25.0
agra,uttar pradesh,2023,May,meta-llama/Llama-3.1-8B-Instruct,0.15
agra,uttar pradesh,2023,June,meta-llama/Llama-3.1-8B-Instruct,
agra,uttar pradesh,2023,July,meta-llama/Llama-3.1-8B-Instruct,
agra,uttar pradesh,2023,August,meta-llama/Llama-3.1-8B-Instruct,
agra,uttar pradesh,2023,September,meta-llama/Llama-3.1-8B-Instruct,
agra,uttar pradesh,2023,October,meta-llama/Llama-3.1-8B-Instruct,
agra,uttar pradesh,2023,November,meta-llama/Llama-3.1-8B-Instruct,
agra,uttar pradesh,2023,December,meta-llama/Llama-3.1-8B-Instruct,
ahmedabad,gujarat,2023,January,meta-llama/Llama-3.1-8B-Instruct,24.0
ahmedabad,gujarat,2023,February,meta-llama/Llama-3.1-8B-Instruct,24.0
ahmedabad,gujarat,2023,March,meta-llama/Llama-3.1-8B-Instruct,24.0
ahmedabad,gujarat,2023,April,meta-llama/Llama-3.1-8B-Instruct,0.083
ahmedabad,gujarat,2023,May,meta-llama/Llama-3.1-8B-Instruct,35.0
ahmedabad,gujarat,2023,June,meta-llama/Llama-3.1-8B-Instruct,
ahmedabad,gujarat,2023,July,meta-llama/Llama-3.1-8B-Instruct,
ahmedabad,gujarat,2023,August,meta-llama/Llama-3.1-8B-Instruct,
ahmedabad,gujarat,2023,September,meta-llama/Llama-3.1-8B-Instruct,
ahmedabad,gujarat,2023,October,meta-llama/Llama-3.1-8B-Instruct,
ahmedabad,gujarat,2023,November,meta-llama/Llama-3.1-8B-Instruct,
ahmedabad,gujarat,2023,December,meta-llama/Llama-3.1-8B-Instruct,
amaravati,andhra pradesh,2023,January,meta-llama/Llama-3.1-8B-Instruct,25.0
amaravati,andhra pradesh,2023,February,meta-llama/Llama-3.1-8B-Instruct,
amaravati,andhra pradesh,2023,March,meta-llama/Llama-3.1-8B-Instruct,0.15
amaravati,andhra pradesh,2023,April,meta-llama/Llama-3.1-8B-Instruct,
amaravati,andhra pradesh,2023,May,meta-llama/Llama-3.1-8B-Instruct,
amaravati,andhra pradesh,2023,June,meta-llama/Llama-3.1-8B-Instruct,
amaravati,andhra pradesh,2023,July,meta-llama/Llama-3.1-8B-Instruct,
amaravati,andhra pradesh,2023,August,meta-llama/Llama-3.1-8B-Instruct,
amaravati,andhra pradesh,2023,September,meta-llama/Llama-3.1-8B-Instruct,
amaravati,andhra pradesh,2023,October,meta-llama/Llama-3.1-8B-Instruct,
amaravati,andhra pradesh,2023,November,meta-llama/Llama-3.1-8B-Instruct,
amaravati,andhra pradesh,2023,December,meta-llama/Llama-3.1-8B-Instruct,
anantapur,andhra pradesh,2023,January,meta-llama/Llama-3.1-8B-Instruct,25.0
anantapur,andhra pradesh,2023,February,meta-llama/Llama-3.1-8B-Instruct,
anantapur,andhra pradesh,2023,March,meta-llama/Llama-3.1-8B-Instruct,
anantapur,andhra pradesh,2023,April,meta-llama/Llama-3.1-8B-Instruct,
anantapur,andhra pradesh,2023,May,meta-llama/Llama-3.1-8B-Instruct,
anantapur,andhra pradesh,2023,June,meta-llama/Llama-3.1-8B-Instruct,
anantapur,andhra pradesh,2023,July,meta-llama/Llama-3.1-8B-Instruct,
anantapur,andhra pradesh,2023,August,meta-llama/Llama-3.1-8B-Instruct,
