city,state,year,month,model,pm2.5
agra,uttar pradesh,2023,January,Qwen/Qwen3-32B,154.6
agra,uttar pradesh,2023,February,Qwen/Qwen3-32B,154.3
agra,uttar pradesh,2023,March,Qwen/Qwen3-32B,154.6
agra,uttar pradesh,2023,April,Qwen/Qwen3-32B,154.6
agra,uttar pradesh,2023,May,Qwen/Qwen3-32B,154.6
agra,uttar pradesh,2023,June,Qwen/Qwen3-32B,154.6
agra,uttar pradesh,2023,July,Qwen/Qwen3-32B,150.7
agra,uttar pradesh,2023,August,Qwen/Qwen3-32B,154.6
agra,uttar pradesh,2023,September,Qwen/Qwen3-32B,150.3
agra,uttar pradesh,2023,October,Qwen/Qwen3-32B,150.7
agra,uttar pradesh,2023,November,Qwen/Qwen3-32B,154.7
agra,uttar pradesh,2023,December,Qwen/Qwen3-32B,154.7
ahmedabad,gujarat,2023,January,Qwen/Qwen3-32B,154.6
ahmedabad,gujarat,2023,February,Qwen/Qwen3-32B,154.6
ahmedabad,gujarat,2023,March,Qwen/Qwen3-32B,154.6
ahmedabad,gujarat,2023,April,Qwen/Qwen3-32B,154.6
ahmedabad,gujarat,2023,May,Qwen/Qwen3-32B,45.7
ahmedabad,gujarat,2023,June,Qwen/Qwen3-32B,154.6
ahmedabad,gujarat,2023,July,Qwen/Qwen3-32B,150.3
ahmedabad,gujarat,2023,August,Qwen/Qwen3-32B,150.3
ahmedabad,gujarat,2023,September,Qwen/Qwen3-32B,45.7
ahmedabad,gujarat,2023,October,Qwen/Qwen3-32B,150.7
ahmedabad,gujarat,2023,November,Qwen/Qwen3-32B,152.7
ahmedabad,gujarat,2023,December,Qwen/Qwen3-32B,154.7
amaravati,andhra pradesh,2023,January,Qwen/Qwen3-32B,45.7
amaravati,andhra pradesh,2023,February,Qwen/Qwen3-32B,45.6
amaravati,andhra pradesh,2023,March,Qwen/Qwen3-32B,45.7
amaravati,andhra pradesh,2023,April,Qwen/Qwen3-32B,45.6
amaravati,andhra pradesh,2023,May,Qwen/Qwen3-32B,45.7
amaravati,andhra pradesh,2023,June,Qwen/Qwen3-32B,45.6
amaravati,andhra pradesh,2023,July,Qwen/Qwen3-32B,45.7
amaravati,andhra pradesh,2023,August,Qwen/Qwen3-32B,45.6
amaravati,andhra pradesh,2023,September,Qwen/Qwen3-32B,45.6
amaravati,andhra pradesh,2023,October,Qwen/Qwen3-32B,45.6
amaravati,andhra pradesh,2023,November,Qwen/Qwen3-32B,45.6
amaravati,andhra pradesh,2023,December,Qwen/Qwen3-32B,45.6
anantapur,andhra pradesh,2023,January,Qwen/Qwen3-32B,45.6
anantapur,andhra pradesh,2023,February,Qwen/Qwen3-32B,45.7
anantapur,andhra pradesh,2023,March,Qwen/Qwen3-32B,45.6
anantapur,andhra pradesh,2023,April,Qwen/Qwen3-32B,45.7
anantapur,andhra pradesh,2023,May,Qwen/Qwen3-32B,45.7
anantapur,andhra pradesh,2023,June,Qwen/Qwen3-32B,45.6
anantapur,andhra pradesh,2023,July,Qwen/Qwen3-32B,45.7
anantapur,andhra pradesh,2023,August,Qwen/Qwen3-32B,45.6
anantapur,andhra pradesh,2023,September,Qwen/Qwen3-32B,45.7
anantapur,andhra pradesh,2023,October,Qwen/Qwen3-32B,45.7
anantapur,andhra pradesh,2023,November,Qwen/Qwen3-32B,45.6
anantapur,andhra pradesh,2023,December,Qwen/Qwen3-32B,125.6
araria,bihar,2023,January,Qwen/Qwen3-32B,154.6
araria,bihar,2023,February,Qwen/Qwen3-32B,154.3
araria,bihar,2023,March,Qwen/Qwen3-32B,45.7
araria,bihar,2023,April,Qwen/Qwen3-32B,156.3
araria,bihar,2023,May,Qwen/Qwen3-32B,45.6
araria,bihar,2023,June,Qwen/Qwen3-32B,45.7
araria,bihar,2023,July,Qwen/Qwen3-32B,45.6
