city,state,year,month,model,pm2.5
agra,uttar pradesh,2023,January,google/gemma-2-9b-it,150.8
agra,uttar pradesh,2023,February,google/gemma-2-9b-it,108.0
agra,uttar pradesh,2023,March,google/gemma-2-9b-it,108.0
agra,uttar pradesh,2023,April,google/gemma-2-9b-it,107.2
agra,uttar pradesh,2023,May,google/gemma-2-9b-it,108.0
agra,uttar pradesh,2023,June,google/gemma-2-9b-it,107.2
agra,uttar pradesh,2023,July,google/gemma-2-9b-it,105.0
agra,uttar pradesh,2023,August,google/gemma-2-9b-it,105.0
agra,uttar pradesh,2023,September,google/gemma-2-9b-it,105.0
agra,uttar pradesh,2023,October,google/gemma-2-9b-it,105.0
agra,uttar pradesh,2023,November,google/gemma-2-9b-it,105.0
agra,uttar pradesh,2023,December,google/gemma-2-9b-it,150.0
ahmedabad,gujarat,2023,January,google/gemma-2-9b-it,65.8
ahmedabad,gujarat,2023,February,google/gemma-2-9b-it,58.7
ahmedabad,gujarat,2023,March,google/gemma-2-9b-it,58.7
ahmedabad,gujarat,2023,April,google/gemma-2-9b-it,65.2
ahmedabad,gujarat,2023,May,google/gemma-2-9b-it,58.7
ahmedabad,gujarat,2023,June,google/gemma-2-9b-it,58.7
ahmedabad,gujarat,2023,July,google/gemma-2-9b-it,58.7
ahmedabad,gujarat,2023,August,google/gemma-2-9b-it,58.7
ahmedabad,gujarat,2023,September,google/gemma-2-9b-it,45.2
ahmedabad,gujarat,2023,October,google/gemma-2-9b-it,45.2
ahmedabad,gujarat,2023,November,google/gemma-2-9b-it,45.2
ahmedabad,gujarat,2023,December,google/gemma-2-9b-it,45.2
amaravati,andhra pradesh,2023,January,google/gemma-2-9b-it,32.7
amaravati,andhra pradesh,2023,February,google/gemma-2-9b-it,32.7
amaravati,andhra pradesh,2023,March,google/gemma-2-9b-it,32.7
amaravati,andhra pradesh,2023,April,google/gemma-2-9b-it,32.7
amaravati,andhra pradesh,2023,May,google/gemma-2-9b-it,32.7
amaravati,andhra pradesh,2023,June,google/gemma-2-9b-it,32.7
amaravati,andhra pradesh,2023,July,google/gemma-2-9b-it,35.2
amaravati,andhra pradesh,2023,August,google/gemma-2-9b-it,32.7
amaravati,andhra pradesh,2023,September,google/gemma-2-9b-it,25.8
amaravati,andhra pradesh,2023,October,google/gemma-2-9b-it,25.8
amaravati,andhra pradesh,2023,November,google/gemma-2-9b-it,25.8
amaravati,andhra pradesh,2023,December,google/gemma-2-9b-it,25.8
anantapur,andhra pradesh,2023,January,google/gemma-2-9b-it,38.7
anantapur,andhra pradesh,2023,February,google/gemma-2-9b-it,38.2
anantapur,andhra pradesh,2023,March,google/gemma-2-9b-it,38.2
anantapur,andhra pradesh,2023,April,google/gemma-2-9b-it,38.7
anantapur,andhra pradesh,2023,May,google/gemma-2-9b-it,38.2
anantapur,andhra pradesh,2023,June,google/gemma-2-9b-it,38.2
anantapur,andhra pradesh,2023,July,google/gemma-2-9b-it,35.2
anantapur,andhra pradesh,2023,August,google/gemma-2-9b-it,35.2
anantapur,andhra pradesh,2023,September,google/gemma-2-9b-it,35.2
anantapur,andhra pradesh,2023,October,google/gemma-2-9b-it,35.2
anantapur,andhra pradesh,2023,November,google/gemma-2-9b-it,25.3
anantapur,andhra pradesh,2023,December,google/gemma-2-9b-it,25.3
araria,bihar,2023,January,google/gemma-2-9b-it,58.7
araria,bihar,2023,February,google/gemma-2-9b-it,48.2
araria,bihar,2023,March,google/gemma-2-9b-it,48.2
araria,bihar,2023,April,google/gemma-2-9b-it,48.7
araria,bihar,2023,May,google/gemma-2-9b-it,48.7
araria,bihar,2023,June,google/gemma-2-9b-it,45.2
araria,bihar,2023,July,google/gemma-2-9b-it,45.2
araria,bihar,2023,August,google/gemma-2-9b-it,45.2
araria,bihar,2023,September,google/gemma-2-9b-it,45.2
araria,bihar,2023,October,google/gemma-2-9b-it,38.7
araria,bihar,2023,November,google/gemma-2-9b-it,35.2
araria,bihar,2023,December,google/gemma-2-9b-it,35.2
ariyalur,tamil nadu,2023,January,google/gemma-2-9b-it,35.2
ariyalur,tamil nadu,2023,February,google/gemma-2-9b-it,35.2
ariyalur,tamil nadu,2023,March,google/gemma-2-9b-it,35.2
ariyalur,tamil nadu,2023,April,google/gemma-2-9b-it,35.2
ariyalur,tamil nadu,2023,May,google/gemma-2-9b-it,35.2
ariyalur,tamil nadu,2023,June,google/gemma-2-9b-it,35.2
ariyalur,tamil nadu,2023,July,google/gemma-2-9b-it,35.2
ariyalur,tamil nadu,2023,August,google/gemma-2-9b-it,35.2
ariyalur,tamil nadu,2023,September,google/gemma-2-9b-it,28.7
ariyalur,tamil nadu,2023,October,google/gemma-2-9b-it,25.3
ariyalur,tamil nadu,2023,November,google/gemma-2-9b-it,25.8
ariyalur,tamil nadu,2023,December,google/gemma-2-9b-it,25.8
arrah,bihar,2023,January,google/gemma-2-9b-it,58.7
arrah,bihar,2023,February,google/gemma-2-9b-it,48.2
arrah,bihar,2023,March,google/gemma-2-9b-it,48.7
arrah,bihar,2023,April,google/gemma-2-9b-it,48.7
arrah,bihar,2023,May,google/gemma-2-9b-it,48.7
arrah,bihar,2023,June,google/gemma-2-9b-it,45.3
arrah,bihar,2023,July,google/gemma-2-9b-it,45.3
arrah,bihar,2023,August,google/gemma-2-9b-it,45.2
arrah,bihar,2023,September,google/gemma-2-9b-it,38.7
arrah,bihar,2023,October,google/gemma-2-9b-it,38.7
arrah,bihar,2023,November,google/gemma-2-9b-it,35.2
arrah,bihar,2023,December,google/gemma-2-9b-it,35.2
aurangabad,bihar,2023,January,google/gemma-2-9b-it,45.2
aurangabad,bihar,2023,February,google/gemma-2-9b-it,38.7
aurangabad,bihar,2023,March,google/gemma-2-9b-it,38.7
aurangabad,bihar,2023,April,google/gemma-2-9b-it,45.2
aurangabad,bihar,2023,May,google/gemma-2-9b-it,38.7
aurangabad,bihar,2023,June,google/gemma-2-9b-it,35.2
aurangabad,bihar,2023,July,google/gemma-2-9b-it,35.2
aurangabad,bihar,2023,August,google/gemma-2-9b-it,35.2
aurangabad,bihar,2023,September,google/gemma-2-9b-it,35.2
aurangabad,bihar,2023,October,google/gemma-2-9b-it,35.2
aurangabad,bihar,2023,November,google/gemma-2-9b-it,35.2
aurangabad,bihar,2023,December,google/gemma-2-9b-it,35.2
baddi,himachal pradesh,2023,January,google/gemma-2-9b-it,38.7
baddi,himachal pradesh,2023,February,google/gemma-2-9b-it,38.7
baddi,himachal pradesh,2023,March,google/gemma-2-9b-it,35.2
baddi,himachal pradesh,2023,April,google/gemma-2-9b-it,38.7
baddi,himachal pradesh,2023,May,google/gemma-2-9b-it,35.2
baddi,himachal pradesh,2023,June,google/gemma-2-9b-it,35.2
baddi,himachal pradesh,2023,July,google/gemma-2-9b-it,35.2
baddi,himachal pradesh,2023,August,google/gemma-2-9b-it,35.2
baddi,himachal pradesh,2023,September,google/gemma-2-9b-it,35.2
baddi,himachal pradesh,2023,October,google/gemma-2-9b-it,35.2
baddi,himachal pradesh,2023,November,google/gemma-2-9b-it,25.8
baddi,himachal pradesh,2023,December,google/gemma-2-9b-it,35.2
bagalkot,karnataka,2023,January,google/gemma-2-9b-it,38.2
bagalkot,karnataka,2023,February,google/gemma-2-9b-it,38.2
bagalkot,karnataka,2023,March,google/gemma-2-9b-it,38.2
bagalkot,karnataka,2023,April,google/gemma-2-9b-it,38.7
bagalkot,karnataka,2023,May,google/gemma-2-9b-it,38.7
bagalkot,karnataka,2023,June,google/gemma-2-9b-it,38.7
bagalkot,karnataka,2023,July,google/gemma-2-9b-it,38.2
bagalkot,karnataka,2023,August,google/gemma-2-9b-it,35.2
bagalkot,karnataka,2023,September,google/gemma-2-9b-it,35.2
bagalkot,karnataka,2023,October,google/gemma-2-9b-it,35.2
bagalkot,karnataka,2023,November,google/gemma-2-9b-it,35.2
bagalkot,karnataka,2023,December,google/gemma-2-9b-it,25.3
baghpat,uttar pradesh,2023,January,google/gemma-2-9b-it,58.7
baghpat,uttar pradesh,2023,February,google/gemma-2-9b-it,48.2
baghpat,uttar pradesh,2023,March,google/gemma-2-9b-it,48.2
baghpat,uttar pradesh,2023,April,google/gemma-2-9b-it,58.7
baghpat,uttar pradesh,2023,July,google/gemma-2-9b-it,45.2
baghpat,uttar pradesh,2023,August,google/gemma-2-9b-it,45.2
baghpat,uttar pradesh,2023,September,google/gemma-2-9b-it,45.2
baghpat,uttar pradesh,2023,October,google/gemma-2-9b-it,45.2
baghpat,uttar pradesh,2023,November,google/gemma-2-9b-it,45.2
baghpat,uttar pradesh,2023,December,google/gemma-2-9b-it,35.2
ballabgarh,haryana,2023,January,google/gemma-2-9b-it,187.2
ballabgarh,haryana,2023,February,google/gemma-2-9b-it,187.2
ballabgarh,haryana,2023,March,google/gemma-2-9b-it,108.2
ballabgarh,haryana,2023,April,google/gemma-2-9b-it,108.2
ballabgarh,haryana,2023,May,google/gemma-2-9b-it,108.5
ballabgarh,haryana,2023,June,google/gemma-2-9b-it,108.5
ballabgarh,haryana,2023,July,google/gemma-2-9b-it,105.2
ballabgarh,haryana,2023,August,google/gemma-2-9b-it,105.2
ballabgarh,haryana,2023,September,google/gemma-2-9b-it,105.2
ballabgarh,haryana,2023,October,google/gemma-2-9b-it,105.2
ballabgarh,haryana,2023,November,google/gemma-2-9b-it,105.2
ballabgarh,haryana,2023,December,google/gemma-2-9b-it,105.2
bareilly,uttar pradesh,2023,January,google/gemma-2-9b-it,75.2
bareilly,uttar pradesh,2023,February,google/gemma-2-9b-it,65.2
bareilly,uttar pradesh,2023,March,google/gemma-2-9b-it,58.7
bareilly,uttar pradesh,2023,April,google/gemma-2-9b-it,65.2
bareilly,uttar pradesh,2023,May,google/gemma-2-9b-it,65.2
bareilly,uttar pradesh,2023,June,google/gemma-2-9b-it,65.2
bareilly,uttar pradesh,2023,July,google/gemma-2-9b-it,45.2
bareilly,uttar pradesh,2023,August,google/gemma-2-9b-it,60.2
bareilly,uttar pradesh,2023,September,google/gemma-2-9b-it,45.2
bareilly,uttar pradesh,2023,October,google/gemma-2-9b-it,45.2
bareilly,uttar pradesh,2023,November,google/gemma-2-9b-it,50.2
bareilly,uttar pradesh,2023,December,google/gemma-2-9b-it,50.2
baripada,odisha,2023,January,google/gemma-2-9b-it,38.7
baripada,odisha,2023,February,google/gemma-2-9b-it,38.7
baripada,odisha,2023,March,google/gemma-2-9b-it,38.7
baripada,odisha,2023,April,google/gemma-2-9b-it,38.7
baripada,odisha,2023,May,google/gemma-2-9b-it,38.7
baripada,odisha,2023,June,google/gemma-2-9b-it,38.7
baripada,odisha,2023,July,google/gemma-2-9b-it,38.7
baripada,odisha,2023,August,google/gemma-2-9b-it,38.2
baripada,odisha,2023,September,google/gemma-2-9b-it,35.2
baripada,odisha,2023,October,google/gemma-2-9b-it,35.2
baripada,odisha,2023,November,google/gemma-2-9b-it,35.2
baripada,odisha,2023,December,google/gemma-2-9b-it,35.2
begusarai,bihar,2023,January,google/gemma-2-9b-it,54.8
begusarai,bihar,2023,February,google/gemma-2-9b-it,48.7
begusarai,bihar,2023,March,google/gemma-2-9b-it,48.7
begusarai,bihar,2023,April,google/gemma-2-9b-it,45.2
begusarai,bihar,2023,May,google/gemma-2-9b-it,45.2
begusarai,bihar,2023,June,google/gemma-2-9b-it,45.2
begusarai,bihar,2023,July,google/gemma-2-9b-it,45.2
begusarai,bihar,2023,August,google/gemma-2-9b-it,45.2
begusarai,bihar,2023,September,google/gemma-2-9b-it,38.7
begusarai,bihar,2023,October,google/gemma-2-9b-it,35.2
begusarai,bihar,2023,November,google/gemma-2-9b-it,35.2
begusarai,bihar,2023,December,google/gemma-2-9b-it,35.2
belgaum,karnataka,2023,January,google/gemma-2-9b-it,38.7
belgaum,karnataka,2023,February,google/gemma-2-9b-it,38.7
belgaum,karnataka,2023,March,google/gemma-2-9b-it,38.7
belgaum,karnataka,2023,April,google/gemma-2-9b-it,38.7
belgaum,karnataka,2023,May,google/gemma-2-9b-it,38.7
belgaum,karnataka,2023,June,google/gemma-2-9b-it,38.7
belgaum,karnataka,2023,July,google/gemma-2-9b-it,38.7
belgaum,karnataka,2023,August,google/gemma-2-9b-it,35.2
belgaum,karnataka,2023,September,google/gemma-2-9b-it,35.2
belgaum,karnataka,2023,October,google/gemma-2-9b-it,35.2
belgaum,karnataka,2023,November,google/gemma-2-9b-it,35.2
belgaum,karnataka,2023,December,google/gemma-2-9b-it,35.2
bengaluru,karnataka,2023,January,google/gemma-2-9b-it,48.2
bengaluru,karnataka,2023,February,google/gemma-2-9b-it,48.2
bengaluru,karnataka,2023,March,google/gemma-2-9b-it,45.2
bengaluru,karnataka,2023,April,google/gemma-2-9b-it,48.2
bengaluru,karnataka,2023,May,google/gemma-2-9b-it,45.2
bengaluru,karnataka,2023,June,google/gemma-2-9b-it,45.2
bengaluru,karnataka,2023,July,google/gemma-2-9b-it,45.2
bengaluru,karnataka,2023,August,google/gemma-2-9b-it,45.2
bengaluru,karnataka,2023,September,google/gemma-2-9b-it,38.7
bengaluru,karnataka,2023,October,google/gemma-2-9b-it,38.7
bengaluru,karnataka,2023,November,google/gemma-2-9b-it,35.2
bengaluru,karnataka,2023,December,google/gemma-2-9b-it,35.2
bettiah,bihar,2023,January,google/gemma-2-9b-it,58.7
bettiah,bihar,2023,February,google/gemma-2-9b-it,58.7
bettiah,bihar,2023,March,google/gemma-2-9b-it,48.7
bettiah,bihar,2023,April,google/gemma-2-9b-it,48.7
bettiah,bihar,2023,May,google/gemma-2-9b-it,45.2
bettiah,bihar,2023,June,google/gemma-2-9b-it,45.2
bettiah,bihar,2023,July,google/gemma-2-9b-it,45.2
bettiah,bihar,2023,August,google/gemma-2-9b-it,45.2
bettiah,bihar,2023,September,google/gemma-2-9b-it,45.2
bettiah,bihar,2023,October,google/gemma-2-9b-it,45.2
bettiah,bihar,2023,November,google/gemma-2-9b-it,35.0
bettiah,bihar,2023,December,google/gemma-2-9b-it,35.0
bhagalpur,bihar,2023,January,google/gemma-2-9b-it,65.2
bhagalpur,bihar,2023,February,google/gemma-2-9b-it,58.7
bhagalpur,bihar,2023,March,google/gemma-2-9b-it,58.7
bhagalpur,bihar,2023,April,google/gemma-2-9b-it,58.7
bhagalpur,bihar,2023,May,google/gemma-2-9b-it,58.7
bhagalpur,bihar,2023,June,google/gemma-2-9b-it,58.7
bhagalpur,bihar,2023,July,google/gemma-2-9b-it,48.2
bhagalpur,bihar,2023,August,google/gemma-2-9b-it,48.2
bhagalpur,bihar,2023,September,google/gemma-2-9b-it,45.2
bhagalpur,bihar,2023,October,google/gemma-2-9b-it,45.2
bhagalpur,bihar,2023,November,google/gemma-2-9b-it,45.2
bhagalpur,bihar,2023,December,google/gemma-2-9b-it,45.2
bhopal,madhya pradesh,2023,January,google/gemma-2-9b-it,48.2
bhopal,madhya pradesh,2023,February,google/gemma-2-9b-it,45.2
bhopal,madhya pradesh,2023,March,google/gemma-2-9b-it,45.2
bhopal,madhya pradesh,2023,April,google/gemma-2-9b-it,45.2
bhopal,madhya pradesh,2023,May,google/gemma-2-9b-it,45.2
bhopal,madhya pradesh,2023,June,google/gemma-2-9b-it,45.2
bhopal,madhya pradesh,2023,July,google/gemma-2-9b-it,38.7
bhopal,madhya pradesh,2023,August,google/gemma-2-9b-it,45.2
bhopal,madhya pradesh,2023,September,google/gemma-2-9b-it,35.2
bhopal,madhya pradesh,2023,October,google/gemma-2-9b-it,35.2
bhopal,madhya pradesh,2023,November,google/gemma-2-9b-it,35.2
bhopal,madhya pradesh,2023,December,google/gemma-2-9b-it,35.2
bihar sharif,bihar,2023,January,google/gemma-2-9b-it,48.2
bihar sharif,bihar,2023,February,google/gemma-2-9b-it,48.2
bihar sharif,bihar,2023,March,google/gemma-2-9b-it,48.2
bihar sharif,bihar,2023,April,google/gemma-2-9b-it,48.2
bihar sharif,bihar,2023,May,google/gemma-2-9b-it,48.2
bihar sharif,bihar,2023,June,google/gemma-2-9b-it,45.2
bihar sharif,bihar,2023,July,google/gemma-2-9b-it,38.7
bihar sharif,bihar,2023,August,google/gemma-2-9b-it,38.7
bihar sharif,bihar,2023,September,google/gemma-2-9b-it,38.7
bihar sharif,bihar,2023,October,google/gemma-2-9b-it,38.7
bihar sharif,bihar,2023,November,google/gemma-2-9b-it,35.2
bihar sharif,bihar,2023,December,google/gemma-2-9b-it,35.2
bilaspur,chhattisgarh,2023,January,google/gemma-2-9b-it,58.7
bilaspur,chhattisgarh,2023,February,google/gemma-2-9b-it,58.7
