city,state,year,month,model,pm2.5
agra,uttar pradesh,2023,January,Qwen/Qwen3-32B,150.3
agra,uttar pradesh,2023,February,Qwen/Qwen3-32B,150.3
agra,uttar pradesh,2023,March,Qwen/Qwen3-32B,85.6
agra,uttar pradesh,2023,April,Qwen/Qwen3-32B,150.3
agra,uttar pradesh,2023,May,Qwen/Qwen3-32B,45.6
agra,uttar pradesh,2023,June,Qwen/Qwen3-32B,45.6
agra,uttar pradesh,2023,July,Qwen/Qwen3-32B,45.6
agra,uttar pradesh,2023,August,Qwen/Qwen3-32B,45.6
agra,uttar pradesh,2023,September,Qwen/Qwen3-32B,78.4
agra,uttar pradesh,2023,October,Qwen/Qwen3-32B,150.3
agra,uttar pradesh,2023,November,Qwen/Qwen3-32B,150.3
agra,uttar pradesh,2023,December,Qwen/Qwen3-32B,150.3
ahmedabad,gujarat,2023,January,Qwen/Qwen3-32B,150.3
ahmedabad,gujarat,2023,February,Qwen/Qwen3-32B,150.3
ahmedabad,gujarat,2023,March,Qwen/Qwen3-32B,150.3
ahmedabad,gujarat,2023,April,Qwen/Qwen3-32B,150.3
ahmedabad,gujarat,2023,May,Qwen/Qwen3-32B,45.6
ahmedabad,gujarat,2023,June,Qwen/Qwen3-32B,45.6
ahmedabad,gujarat,2023,July,Qwen/Qwen3-32B,150.3
ahmedabad,gujarat,2023,August,Qwen/Qwen3-32B,150.3
ahmedabad,gujarat,2023,September,Qwen/Qwen3-32B,45.6
ahmedabad,gujarat,2023,October,Qwen/Qwen3-32B,45.6
ahmedabad,gujarat,2023,November,Qwen/Qwen3-32B,150.3
ahmedabad,gujarat,2023,December,Qwen/Qwen3-32B,150.3
amaravati,andhra pradesh,2023,January,Qwen/Qwen3-32B,45.6
amaravati,andhra pradesh,2023,February,Qwen/Qwen3-32B,45.6
amaravati,andhra pradesh,2023,March,Qwen/Qwen3-32B,45.6
amaravati,andhra pradesh,2023,April,Qwen/Qwen3-32B,45.6
amaravati,andhra pradesh,2023,May,Qwen/Qwen3-32B,38.4
amaravati,andhra pradesh,2023,June,Qwen/Qwen3-32B,35.7
amaravati,andhra pradesh,2023,July,Qwen/Qwen3-32B,35.7
amaravati,andhra pradesh,2023,August,Qwen/Qwen3-32B,35.7
amaravati,andhra pradesh,2023,September,Qwen/Qwen3-32B,35.7
amaravati,andhra pradesh,2023,October,Qwen/Qwen3-32B,45.6
amaravati,andhra pradesh,2023,November,Qwen/Qwen3-32B,45.6
amaravati,andhra pradesh,2023,December,Qwen/Qwen3-32B,45.6
anantapur,andhra pradesh,2023,January,Qwen/Qwen3-32B,45.6
