city,state,year,month,model,pm2.5
agra,uttar pradesh,2023,January,meta-llama/Llama-3.1-70B-Instruct,234.0
agra,uttar pradesh,2023,February,meta-llama/Llama-3.1-70B-Instruct,114.0
agra,uttar pradesh,2023,March,meta-llama/Llama-3.1-70B-Instruct,114.0
agra,uttar pradesh,2023,April,meta-llama/Llama-3.1-70B-Instruct,114.0
agra,uttar pradesh,2023,May,meta-llama/Llama-3.1-70B-Instruct,83.0
agra,uttar pradesh,2023,June,meta-llama/Llama-3.1-70B-Instruct,63.0
agra,uttar pradesh,2023,July,meta-llama/Llama-3.1-70B-Instruct,83.0
agra,uttar pradesh,2023,August,meta-llama/Llama-3.1-70B-Instruct,83.0
agra,uttar pradesh,2023,September,meta-llama/Llama-3.1-70B-Instruct,85.0
agra,uttar pradesh,2023,October,meta-llama/Llama-3.1-70B-Instruct,114.0
agra,uttar pradesh,2023,November,meta-llama/Llama-3.1-70B-Instruct,234.0
agra,uttar pradesh,2023,December,meta-llama/Llama-3.1-70B-Instruct,114.0
ahmedabad,gujarat,2023,January,meta-llama/Llama-3.1-70B-Instruct,63.0
ahmedabad,gujarat,2023,February,meta-llama/Llama-3.1-70B-Instruct,69.0
ahmedabad,gujarat,2023,March,meta-llama/Llama-3.1-70B-Instruct,69.0
ahmedabad,gujarat,2023,April,meta-llama/Llama-3.1-70B-Instruct,41.0
ahmedabad,gujarat,2023,May,meta-llama/Llama-3.1-70B-Instruct,43.0
ahmedabad,gujarat,2023,June,meta-llama/Llama-3.1-70B-Instruct,43.0
ahmedabad,gujarat,2023,July,meta-llama/Llama-3.1-70B-Instruct,43.0
ahmedabad,gujarat,2023,August,meta-llama/Llama-3.1-70B-Instruct,43.0
ahmedabad,gujarat,2023,September,meta-llama/Llama-3.1-70B-Instruct,63.0
ahmedabad,gujarat,2023,October,meta-llama/Llama-3.1-70B-Instruct,63.0
ahmedabad,gujarat,2023,November,meta-llama/Llama-3.1-70B-Instruct,63.0
ahmedabad,gujarat,2023,December,meta-llama/Llama-3.1-70B-Instruct,63.0
amaravati,andhra pradesh,2023,January,meta-llama/Llama-3.1-70B-Instruct,43.0
amaravati,andhra pradesh,2023,February,meta-llama/Llama-3.1-70B-Instruct,43.0
amaravati,andhra pradesh,2023,March,meta-llama/Llama-3.1-70B-Instruct,43.0
amaravati,andhra pradesh,2023,April,meta-llama/Llama-3.1-70B-Instruct,43.0
amaravati,andhra pradesh,2023,May,meta-llama/Llama-3.1-70B-Instruct,23.0
amaravati,andhra pradesh,2023,June,meta-llama/Llama-3.1-70B-Instruct,23.0
amaravati,andhra pradesh,2023,July,meta-llama/Llama-3.1-70B-Instruct,23.0
amaravati,andhra pradesh,2023,August,meta-llama/Llama-3.1-70B-Instruct,23.0
amaravati,andhra pradesh,2023,September,meta-llama/Llama-3.1-70B-Instruct,23.0
amaravati,andhra pradesh,2023,October,meta-llama/Llama-3.1-70B-Instruct,23.0
amaravati,andhra pradesh,2023,November,meta-llama/Llama-3.1-70B-Instruct,43.0
amaravati,andhra pradesh,2023,December,meta-llama/Llama-3.1-70B-Instruct,43.0
anantapur,andhra pradesh,2023,January,meta-llama/Llama-3.1-70B-Instruct,43.0
anantapur,andhra pradesh,2023,February,meta-llama/Llama-3.1-70B-Instruct,43.0
anantapur,andhra pradesh,2023,March,meta-llama/Llama-3.1-70B-Instruct,43.0
anantapur,andhra pradesh,2023,April,meta-llama/Llama-3.1-70B-Instruct,43.0
anantapur,andhra pradesh,2023,May,meta-llama/Llama-3.1-70B-Instruct,43.0
anantapur,andhra pradesh,2023,June,meta-llama/Llama-3.1-70B-Instruct,43.0
anantapur,andhra pradesh,2023,July,meta-llama/Llama-3.1-70B-Instruct,43.0
anantapur,andhra pradesh,2023,August,meta-llama/Llama-3.1-70B-Instruct,23.0
anantapur,andhra pradesh,2023,September,meta-llama/Llama-3.1-70B-Instruct,43.0
anantapur,andhra pradesh,2023,October,meta-llama/Llama-3.1-70B-Instruct,43.0
anantapur,andhra pradesh,2023,November,meta-llama/Llama-3.1-70B-Instruct,43.0
anantapur,andhra pradesh,2023,December,meta-llama/Llama-3.1-70B-Instruct,43.0
araria,bihar,2023,January,meta-llama/Llama-3.1-70B-Instruct,234.0
araria,bihar,2023,February,meta-llama/Llama-3.1-70B-Instruct,157.0
araria,bihar,2023,March,meta-llama/Llama-3.1-70B-Instruct,157.0
araria,bihar,2023,April,meta-llama/Llama-3.1-70B-Instruct,83.0
araria,bihar,2023,May,meta-llama/Llama-3.1-70B-Instruct,63.0
araria,bihar,2023,June,meta-llama/Llama-3.1-70B-Instruct,63.0
araria,bihar,2023,July,meta-llama/Llama-3.1-70B-Instruct,63.0
araria,bihar,2023,August,meta-llama/Llama-3.1-70B-Instruct,63.0
araria,bihar,2023,September,meta-llama/Llama-3.1-70B-Instruct,
araria,bihar,2023,October,meta-llama/Llama-3.1-70B-Instruct,
