city,state,year,month,model,pm2.5
agra,uttar pradesh,2023,January,meta-llama/Llama-3.3-70B-Instruct,234.0
agra,uttar pradesh,2023,February,meta-llama/Llama-3.3-70B-Instruct,151.0
agra,uttar pradesh,2023,March,meta-llama/Llama-3.3-70B-Instruct,151.0
agra,uttar pradesh,2023,April,meta-llama/Llama-3.3-70B-Instruct,115.0
agra,uttar pradesh,2023,May,meta-llama/Llama-3.3-70B-Instruct,115.0
agra,uttar pradesh,2023,June,meta-llama/Llama-3.3-70B-Instruct,114.0
agra,uttar pradesh,2023,July,meta-llama/Llama-3.3-70B-Instruct,114.0
agra,uttar pradesh,2023,August,meta-llama/Llama-3.3-70B-Instruct,92.0
agra,uttar pradesh,2023,September,meta-llama/Llama-3.3-70B-Instruct,114.0
agra,uttar pradesh,2023,October,meta-llama/Llama-3.3-70B-Instruct,114.0
agra,uttar pradesh,2023,November,meta-llama/Llama-3.3-70B-Instruct,194.0
agra,uttar pradesh,2023,December,meta-llama/Llama-3.3-70B-Instruct,120.0
ahmedabad,gujarat,2023,January,meta-llama/Llama-3.3-70B-Instruct,114.0
ahmedabad,gujarat,2023,February,meta-llama/Llama-3.3-70B-Instruct,69.0
ahmedabad,gujarat,2023,March,meta-llama/Llama-3.3-70B-Instruct,101.0
ahmedabad,gujarat,2023,April,meta-llama/Llama-3.3-70B-Instruct,101.0
ahmedabad,gujarat,2023,May,meta-llama/Llama-3.3-70B-Instruct,83.0
ahmedabad,gujarat,2023,June,meta-llama/Llama-3.3-70B-Instruct,63.0
ahmedabad,gujarat,2023,July,meta-llama/Llama-3.3-70B-Instruct,63.0
ahmedabad,gujarat,2023,August,meta-llama/Llama-3.3-70B-Instruct,63.0
ahmedabad,gujarat,2023,September,meta-llama/Llama-3.3-70B-Instruct,63.0
ahmedabad,gujarat,2023,October,meta-llama/Llama-3.3-70B-Instruct,63.0
ahmedabad,gujarat,2023,November,meta-llama/Llama-3.3-70B-Instruct,83.0
ahmedabad,gujarat,2023,December,meta-llama/Llama-3.3-70B-Instruct,68.0
amaravati,andhra pradesh,2023,January,meta-llama/Llama-3.3-70B-Instruct,65.0
amaravati,andhra pradesh,2023,February,meta-llama/Llama-3.3-70B-Instruct,35.0
amaravati,andhra pradesh,2023,March,meta-llama/Llama-3.3-70B-Instruct,45.0
amaravati,andhra pradesh,2023,April,meta-llama/Llama-3.3-70B-Instruct,35.0
amaravati,andhra pradesh,2023,May,meta-llama/Llama-3.3-70B-Instruct,25.0
amaravati,andhra pradesh,2023,June,meta-llama/Llama-3.3-70B-Instruct,25.0
amaravati,andhra pradesh,2023,July,meta-llama/Llama-3.3-70B-Instruct,32.0
amaravati,andhra pradesh,2023,August,meta-llama/Llama-3.3-70B-Instruct,25.0
amaravati,andhra pradesh,2023,September,meta-llama/Llama-3.3-70B-Instruct,25.0
amaravati,andhra pradesh,2023,October,meta-llama/Llama-3.3-70B-Instruct,65.0
amaravati,andhra pradesh,2023,November,meta-llama/Llama-3.3-70B-Instruct,65.0
amaravati,andhra pradesh,2023,December,meta-llama/Llama-3.3-70B-Instruct,65.0
anantapur,andhra pradesh,2023,January,meta-llama/Llama-3.3-70B-Instruct,54.0
anantapur,andhra pradesh,2023,February,meta-llama/Llama-3.3-70B-Instruct,63.0
anantapur,andhra pradesh,2023,March,meta-llama/Llama-3.3-70B-Instruct,65.0
