city,state,year,month,model,pm2.5
agra,uttar pradesh,2023,January,Qwen/Qwen3-32B,154.3
agra,uttar pradesh,2023,February,Qwen/Qwen3-32B,154.3
agra,uttar pradesh,2023,March,Qwen/Qwen3-32B,150.7
agra,uttar pradesh,2023,April,Qwen/Qwen3-32B,150.7
agra,uttar pradesh,2023,May,Qwen/Qwen3-32B,85.6
agra,uttar pradesh,2023,June,Qwen/Qwen3-32B,85.6
agra,uttar pradesh,2023,July,Qwen/Qwen3-32B,78.2
agra,uttar pradesh,2023,August,Qwen/Qwen3-32B,150.3
agra,uttar pradesh,2023,September,Qwen/Qwen3-32B,150.2
agra,uttar pradesh,2023,October,Qwen/Qwen3-32B,150.7
agra,uttar pradesh,2023,November,Qwen/Qwen3-32B,150.3
agra,uttar pradesh,2023,December,Qwen/Qwen3-32B,154.3
ahmedabad,gujarat,2023,January,Qwen/Qwen3-32B,154.6
ahmedabad,gujarat,2023,February,Qwen/Qwen3-32B,150.7
ahmedabad,gujarat,2023,March,Qwen/Qwen3-32B,150.3
ahmedabad,gujarat,2023,April,Qwen/Qwen3-32B,150.3
ahmedabad,gujarat,2023,May,Qwen/Qwen3-32B,45.6
ahmedabad,gujarat,2023,June,Qwen/Qwen3-32B,45.6
ahmedabad,gujarat,2023,July,Qwen/Qwen3-32B,45.6
ahmedabad,gujarat,2023,August,Qwen/Qwen3-32B,45.6
ahmedabad,gujarat,2023,September,Qwen/Qwen3-32B,45.6
ahmedabad,gujarat,2023,October,Qwen/Qwen3-32B,150.3
ahmedabad,gujarat,2023,November,Qwen/Qwen3-32B,150.3
ahmedabad,gujarat,2023,December,Qwen/Qwen3-32B,150.3
amaravati,andhra pradesh,2023,January,Qwen/Qwen3-32B,45.7
amaravati,andhra pradesh,2023,February,Qwen/Qwen3-32B,45.7
amaravati,andhra pradesh,2023,March,Qwen/Qwen3-32B,45.6
amaravati,andhra pradesh,2023,April,Qwen/Qwen3-32B,45.7
amaravati,andhra pradesh,2023,May,Qwen/Qwen3-32B,45.6
amaravati,andhra pradesh,2023,June,Qwen/Qwen3-32B,45.7
amaravati,andhra pradesh,2023,July,Qwen/Qwen3-32B,45.6
amaravati,andhra pradesh,2023,August,Qwen/Qwen3-32B,45.7
amaravati,andhra pradesh,2023,September,Qwen/Qwen3-32B,45.7
amaravati,andhra pradesh,2023,October,Qwen/Qwen3-32B,45.6
amaravati,andhra pradesh,2023,November,Qwen/Qwen3-32B,45.6
amaravati,andhra pradesh,2023,December,Qwen/Qwen3-32B,45.6
anantapur,andhra pradesh,2023,January,Qwen/Qwen3-32B,45.7
anantapur,andhra pradesh,2023,February,Qwen/Qwen3-32B,45.6
anantapur,andhra pradesh,2023,March,Qwen/Qwen3-32B,45.6
anantapur,andhra pradesh,2023,April,Qwen/Qwen3-32B,45.6
anantapur,andhra pradesh,2023,May,Qwen/Qwen3-32B,45.6
anantapur,andhra pradesh,2023,June,Qwen/Qwen3-32B,45.6
anantapur,andhra pradesh,2023,July,Qwen/Qwen3-32B,38.4
anantapur,andhra pradesh,2023,August,Qwen/Qwen3-32B,35.7
anantapur,andhra pradesh,2023,September,Qwen/Qwen3-32B,45.7
anantapur,andhra pradesh,2023,October,Qwen/Qwen3-32B,45.6
anantapur,andhra pradesh,2023,November,Qwen/Qwen3-32B,45.6
anantapur,andhra pradesh,2023,December,Qwen/Qwen3-32B,45.7
araria,bihar,2023,January,Qwen/Qwen3-32B,154.2
araria,bihar,2023,February,Qwen/Qwen3-32B,85.6
araria,bihar,2023,March,Qwen/Qwen3-32B,45.7
araria,bihar,2023,April,Qwen/Qwen3-32B,78.3
araria,bihar,2023,May,Qwen/Qwen3-32B,45.6
araria,bihar,2023,June,Qwen/Qwen3-32B,78.4
araria,bihar,2023,July,Qwen/Qwen3-32B,45.6
araria,bihar,2023,August,Qwen/Qwen3-32B,45.6
araria,bihar,2023,September,Qwen/Qwen3-32B,45.6
araria,bihar,2023,October,Qwen/Qwen3-32B,78.4
araria,bihar,2023,November,Qwen/Qwen3-32B,156.4
araria,bihar,2023,December,Qwen/Qwen3-32B,156.3
ariyalur,tamil nadu,2023,January,Qwen/Qwen3-32B,45.6
ariyalur,tamil nadu,2023,February,Qwen/Qwen3-32B,45.6
ariyalur,tamil nadu,2023,March,Qwen/Qwen3-32B,45.6
ariyalur,tamil nadu,2023,April,Qwen/Qwen3-32B,45.7
ariyalur,tamil nadu,2023,May,Qwen/Qwen3-32B,45.7
ariyalur,tamil nadu,2023,June,Qwen/Qwen3-32B,45.6
ariyalur,tamil nadu,2023,July,Qwen/Qwen3-32B,35.2
ariyalur,tamil nadu,2023,August,Qwen/Qwen3-32B,45.6
ariyalur,tamil nadu,2023,September,Qwen/Qwen3-32B,45.6
ariyalur,tamil nadu,2023,October,Qwen/Qwen3-32B,45.7
ariyalur,tamil nadu,2023,November,Qwen/Qwen3-32B,45.7
ariyalur,tamil nadu,2023,December,Qwen/Qwen3-32B,45.6
arrah,bihar,2023,January,Qwen/Qwen3-32B,154.3
arrah,bihar,2023,February,Qwen/Qwen3-32B,78.4
arrah,bihar,2023,March,Qwen/Qwen3-32B,45.7
arrah,bihar,2023,April,Qwen/Qwen3-32B,78.4
arrah,bihar,2023,May,Qwen/Qwen3-32B,45.6
arrah,bihar,2023,June,Qwen/Qwen3-32B,78.4
arrah,bihar,2023,July,Qwen/Qwen3-32B,45.6
arrah,bihar,2023,August,Qwen/Qwen3-32B,45.7
arrah,bihar,2023,September,Qwen/Qwen3-32B,78.4
arrah,bihar,2023,October,Qwen/Qwen3-32B,78.4
arrah,bihar,2023,November,Qwen/Qwen3-32B,150.3
arrah,bihar,2023,December,Qwen/Qwen3-32B,156.7
aurangabad,bihar,2023,January,Qwen/Qwen3-32B,156.3
aurangabad,bihar,2023,February,Qwen/Qwen3-32B,85.6
aurangabad,bihar,2023,March,Qwen/Qwen3-32B,78.4
aurangabad,bihar,2023,April,Qwen/Qwen3-32B,85.4
aurangabad,bihar,2023,May,Qwen/Qwen3-32B,78.4
aurangabad,bihar,2023,June,Qwen/Qwen3-32B,78.2
aurangabad,bihar,2023,July,Qwen/Qwen3-32B,78.4
aurangabad,bihar,2023,August,Qwen/Qwen3-32B,45.7
aurangabad,bihar,2023,September,Qwen/Qwen3-32B,45.6
aurangabad,bihar,2023,October,Qwen/Qwen3-32B,78.3
aurangabad,bihar,2023,November,Qwen/Qwen3-32B,156.3
aurangabad,bihar,2023,December,Qwen/Qwen3-32B,156.3
baddi,himachal pradesh,2023,January,Qwen/Qwen3-32B,45.6
baddi,himachal pradesh,2023,February,Qwen/Qwen3-32B,45.6
baddi,himachal pradesh,2023,March,Qwen/Qwen3-32B,45.6
baddi,himachal pradesh,2023,April,Qwen/Qwen3-32B,45.7
baddi,himachal pradesh,2023,May,Qwen/Qwen3-32B,45.7
baddi,himachal pradesh,2023,June,Qwen/Qwen3-32B,45.6
baddi,himachal pradesh,2023,July,Qwen/Qwen3-32B,45.6
baddi,himachal pradesh,2023,August,Qwen/Qwen3-32B,45.6
baddi,himachal pradesh,2023,September,Qwen/Qwen3-32B,45.7
baddi,himachal pradesh,2023,October,Qwen/Qwen3-32B,45.7
baddi,himachal pradesh,2023,November,Qwen/Qwen3-32B,45.6
baddi,himachal pradesh,2023,December,Qwen/Qwen3-32B,45.7
bagalkot,karnataka,2023,January,Qwen/Qwen3-32B,45.6
bagalkot,karnataka,2023,February,Qwen/Qwen3-32B,45.6
bagalkot,karnataka,2023,March,Qwen/Qwen3-32B,45.6
bagalkot,karnataka,2023,April,Qwen/Qwen3-32B,45.2
bagalkot,karnataka,2023,May,Qwen/Qwen3-32B,45.6
bagalkot,karnataka,2023,June,Qwen/Qwen3-32B,45.6
bagalkot,karnataka,2023,July,Qwen/Qwen3-32B,35.7
bagalkot,karnataka,2023,August,Qwen/Qwen3-32B,35.7
bagalkot,karnataka,2023,September,Qwen/Qwen3-32B,45.6
bagalkot,karnataka,2023,October,Qwen/Qwen3-32B,45.6
bagalkot,karnataka,2023,November,Qwen/Qwen3-32B,45.7
bagalkot,karnataka,2023,December,Qwen/Qwen3-32B,45.6
baghpat,uttar pradesh,2023,January,Qwen/Qwen3-32B,156.3
baghpat,uttar pradesh,2023,February,Qwen/Qwen3-32B,150.3
baghpat,uttar pradesh,2023,March,Qwen/Qwen3-32B,78.4
baghpat,uttar pradesh,2023,April,Qwen/Qwen3-32B,78.4
baghpat,uttar pradesh,2023,July,Qwen/Qwen3-32B,78.4
baghpat,uttar pradesh,2023,August,Qwen/Qwen3-32B,58.7
baghpat,uttar pradesh,2023,September,Qwen/Qwen3-32B,78.4
baghpat,uttar pradesh,2023,October,Qwen/Qwen3-32B,78.4
baghpat,uttar pradesh,2023,November,Qwen/Qwen3-32B,150.3
baghpat,uttar pradesh,2023,December,Qwen/Qwen3-32B,156.7
ballabgarh,haryana,2023,January,Qwen/Qwen3-32B,78.4
ballabgarh,haryana,2023,February,Qwen/Qwen3-32B,85.6
ballabgarh,haryana,2023,March,Qwen/Qwen3-32B,45.6
ballabgarh,haryana,2023,April,Qwen/Qwen3-32B,45.6
ballabgarh,haryana,2023,May,Qwen/Qwen3-32B,45.6
ballabgarh,haryana,2023,June,Qwen/Qwen3-32B,45.7
ballabgarh,haryana,2023,July,Qwen/Qwen3-32B,45.7
ballabgarh,haryana,2023,August,Qwen/Qwen3-32B,45.7
ballabgarh,haryana,2023,September,Qwen/Qwen3-32B,45.7
ballabgarh,haryana,2023,October,Qwen/Qwen3-32B,45.6
ballabgarh,haryana,2023,November,Qwen/Qwen3-32B,85.6
ballabgarh,haryana,2023,December,Qwen/Qwen3-32B,125.4
bareilly,uttar pradesh,2023,January,Qwen/Qwen3-32B,154.6
bareilly,uttar pradesh,2023,February,Qwen/Qwen3-32B,156.3
bareilly,uttar pradesh,2023,March,Qwen/Qwen3-32B,85.6
bareilly,uttar pradesh,2023,April,Qwen/Qwen3-32B,78.4
bareilly,uttar pradesh,2023,May,Qwen/Qwen3-32B,78.2
bareilly,uttar pradesh,2023,June,Qwen/Qwen3-32B,150.2
bareilly,uttar pradesh,2023,July,Qwen/Qwen3-32B,78.4
bareilly,uttar pradesh,2023,August,Qwen/Qwen3-32B,78.2
bareilly,uttar pradesh,2023,September,Qwen/Qwen3-32B,78.4
bareilly,uttar pradesh,2023,October,Qwen/Qwen3-32B,150.3
bareilly,uttar pradesh,2023,November,Qwen/Qwen3-32B,156.3
bareilly,uttar pradesh,2023,December,Qwen/Qwen3-32B,152.3
baripada,odisha,2023,January,Qwen/Qwen3-32B,45.6
baripada,odisha,2023,February,Qwen/Qwen3-32B,45.6
baripada,odisha,2023,March,Qwen/Qwen3-32B,45.7
baripada,odisha,2023,April,Qwen/Qwen3-32B,45.6
baripada,odisha,2023,May,Qwen/Qwen3-32B,45.7
